"Index"	"country"	"country_code"	"1950-1955"	"1955-1960"	"1960-1965"	"1965-1970"	"1970-1975"	"1975-1980"	"1980-1985"	"1985-1990"	"1990-1995"	"1995-2000"	"2000-2005"	"2005-2010"	"2010-2015"	"2015-2020"	"2020-2025"	"2025-2030"	"2030-2035"	"2035-2040"	"2040-2045"	"2045-2050"	"2050-2055"	"2055-2060"	"2060-2065"	"2065-2070"	"2070-2075"	"2075-2080"	"2080-2085"	"2085-2090"	"2090-2095"	"2095-2100"
1	"World"	900	4.9542	4.8903	4.9122	4.8494	4.4467	3.8373	3.5862	3.3930	3.0410	2.7895	2.6166	2.5215	2.4514	2.3890	2.3344	2.2902	2.2524	2.2208	2.1931	2.1686	2.1456	2.1243	2.1054	2.0895	2.0761	2.0644	2.0536	2.0439	2.0354	2.0284
2	"More developed regions"	901	2.8136	2.7805	2.6637	2.3641	2.1598	1.9312	1.8472	1.8093	1.6578	1.5550	1.5748	1.6623	1.7112	1.7539	1.8021	1.8548	1.9011	1.9310	1.9505	1.9673	1.9858	2.0051	2.0219	2.0333	2.0399	2.0460	2.0528	2.0606	2.0676	2.0723
3	"Less developed regions"	902	6.0739	5.9411	5.9711	5.9369	5.3693	4.5384	4.1551	3.8451	3.3854	3.0606	2.8227	2.6746	2.5673	2.4768	2.4028	2.3463	2.2985	2.2570	2.2213	2.1906	2.1625	2.1373	2.1154	2.0964	2.0800	2.0654	2.0524	2.0409	2.0312	2.0230
4	"Least developed countries"	941	6.5399	6.6007	6.6811	6.7344	6.7133	6.5750	6.4530	6.1446	5.7409	5.3065	4.8475	4.4099	4.0983	3.8241	3.5644	3.3448	3.1613	3.0074	2.8732	2.7555	2.6512	2.5603	2.4804	2.4086	2.3444	2.2871	2.2374	2.1953	2.1589	2.1273
5	"Other less developed countries"	934	6.0119	5.8522	5.8744	5.8311	5.1946	4.2760	3.8658	3.5612	3.0868	2.7609	2.5345	2.4071	2.3065	2.2221	2.1582	2.1121	2.0757	2.0462	2.0225	2.0037	1.9884	1.9764	1.9683	1.9638	1.9620	1.9617	1.9621	1.9629	1.9646	1.9672
6	"Less developed regions, excluding China"	948	6.0578	6.1391	6.1324	5.9683	5.6492	5.2359	4.8453	4.3980	3.9591	3.5530	3.2436	3.0280	2.8634	2.7276	2.6037	2.4992	2.4136	2.3456	2.2906	2.2447	2.2043	2.1698	2.1408	2.1160	2.0950	2.0764	2.0600	2.0458	2.0337	2.0234
7	"Sub-Saharan Africa"	947	6.5302	6.5690	6.6395	6.6529	6.7084	6.6939	6.5833	6.3869	6.0543	5.7268	5.4419	5.0997	4.7836	4.4706	4.1308	3.8332	3.5768	3.3562	3.1643	2.9967	2.8492	2.7209	2.6100	2.5127	2.4276	2.3526	2.2878	2.2321	2.1842	2.1428
8	"Africa"	903	6.5967	6.6555	6.7091	6.6844	6.6689	6.5697	6.3847	6.0727	5.6191	5.2262	4.9350	4.6355	4.3652	4.1105	3.8359	3.5916	3.3768	3.1915	3.0314	2.8913	2.7657	2.6539	2.5554	2.4682	2.3919	2.3246	2.2659	2.2149	2.1706	2.1321
9	"Eastern Africa"	910	7.0133	7.0036	7.0678	7.0770	7.0405	6.9762	6.8194	6.6577	6.2944	5.9202	5.5346	5.1095	4.7442	4.3923	4.0418	3.7604	3.5302	3.3372	3.1690	3.0212	2.8890	2.7751	2.6750	2.5855	2.5056	2.4332	2.3688	2.3124	2.2619	2.2173
10	"Burundi"	108	6.8010	6.8010	6.8010	6.8010	6.8010	6.8010	6.5000	6.5000	6.4528	6.0810	5.4050	4.6600	4.0509	3.5268	3.1030	2.7777	2.5316	2.3435	2.1924	2.0711	1.9746	1.9043	1.8502	1.8140	1.7943	1.7860	1.7887	1.7974	1.8123	1.8297
11	"Comoros"	174	6.0000	6.6010	6.9090	7.0500	7.0500	7.0500	7.0500	6.0000	5.3000	5.3000	5.3000	5.0800	4.7417	4.4253	4.1325	3.8652	3.6269	3.4162	3.2287	3.0637	2.9179	2.7849	2.6670	2.5621	2.4648	2.3765	2.2970	2.2251	2.1622	2.1090
12	"Djibouti"	262	7.8000	7.8000	7.8000	7.6000	7.2000	6.8000	6.6000	6.4000	5.8500	5.1120	4.5170	3.9500	3.5886	3.2753	3.0150	2.8024	2.6232	2.4731	2.3446	2.2338	2.1397	2.0601	1.9944	1.9419	1.9033	1.8759	1.8567	1.8465	1.8438	1.8451
13	"Eritrea"	232	6.9650	6.9650	6.8150	6.6990	6.5200	6.5000	6.5000	6.3100	6.0820	5.6590	5.1880	4.6800	4.2426	3.8438	3.4902	3.1871	2.9364	2.7304	2.5575	2.4154	2.2933	2.1909	2.1037	2.0331	1.9774	1.9329	1.9018	1.8809	1.8686	1.8624
14	"Ethiopia"	231	7.1696	6.9023	6.8972	6.8691	6.8088	6.7644	6.9347	7.0573	6.9988	6.4835	5.6000	4.6000	3.8477	3.2448	2.8080	2.5036	2.2803	2.1070	1.9719	1.8700	1.7938	1.7438	1.7157	1.7061	1.7119	1.7277	1.7512	1.7789	1.8077	1.8355
15	"Kenya"	404	7.4810	7.7850	8.0650	8.1100	7.9900	7.6400	7.2160	6.5380	5.5660	5.0720	5.0000	4.8000	4.6226	4.3433	4.0053	3.7132	3.4617	3.2447	3.0551	2.8900	2.7439	2.6129	2.4939	2.3875	2.2923	2.2078	2.1330	2.0692	2.0145	1.9700
16	"Madagascar"	450	7.3000	7.3000	7.3000	7.3000	7.3000	7.0000	6.1000	6.3000	6.1390	5.8010	5.2780	4.8300	4.4934	4.1852	3.9047	3.6547	3.4306	3.2354	3.0622	2.9095	2.7739	2.6526	2.5434	2.4438	2.3532	2.2715	2.1982	2.1378	2.0853	2.0419
17	"Malawi"	454	6.7800	6.8400	7.0000	7.2000	7.4000	7.5000	7.3000	7.0000	6.5000	6.2000	6.0320	6.0000	5.9685	5.8650	5.5171	5.1825	4.8653	4.5672	4.2911	4.0388	3.8092	3.6018	3.4167	3.2493	3.1007	2.9675	2.8480	2.7394	2.6410	2.5531
18	"Mauritius"	480	5.8950	5.8950	6.1950	4.6100	3.4660	3.1050	2.3015	2.3118	2.2465	2.0332	1.9335	1.6646	1.5902	1.5460	1.5568	1.5979	1.6446	1.6914	1.7364	1.7769	1.8125	1.8457	1.8757	1.9021	1.9258	1.9466	1.9647	1.9814	1.9964	2.0091
19	"Mayotte"	175	7.9100	7.9100	7.9100	7.9100	7.9100	7.9100	7.3504	6.7270	5.0800	4.7625	4.4450	4.3000	4.1844	3.8375	3.4688	3.1723	2.9265	2.7193	2.5409	2.3851	2.2493	2.1306	2.0295	1.9459	1.8796	1.8302	1.7966	1.7766	1.7695	1.7727
20	"Mozambique"	508	6.6000	6.6000	6.6000	6.6000	6.5750	6.5250	6.4444	6.3306	6.1194	5.8466	5.5189	5.1133	4.7134	4.3338	3.9804	3.6599	3.3759	3.1303	2.9207	2.7435	2.5916	2.4628	2.3479	2.2488	2.1671	2.0989	2.0408	1.9957	1.9619	1.9369
21	"Reunion"	638	6.9294	6.5699	6.5632	5.6722	3.8750	3.1200	2.7765	2.7130	2.4050	2.3279	2.4450	2.3969	2.2502	2.1255	2.0240	1.9453	1.8899	1.8547	1.8377	1.8337	1.8396	1.8517	1.8674	1.8841	1.9020	1.9199	1.9362	1.9527	1.9674	1.9815
22	"Rwanda"	646	8.0000	8.1500	8.1500	8.1000	8.2000	8.2500	8.2500	7.8000	6.3000	6.0000	5.6000	5.4300	5.2825	4.9083	4.4359	4.0383	3.7051	3.4235	3.1840	2.9770	2.7946	2.6348	2.4919	2.3639	2.2500	2.1501	2.0632	1.9901	1.9307	1.8846
23	"Somalia"	706	7.2500	7.2500	7.2500	7.2500	7.1000	7.0000	6.7000	6.7000	6.5000	6.5000	6.5000	6.4000	6.2830	6.2302	5.9462	5.6419	5.3255	5.0051	4.6904	4.3884	4.1046	3.8418	3.6033	3.3896	3.1982	3.0273	2.8770	2.7432	2.6249	2.5214
24	"Uganda"	800	6.9000	6.9500	7.0500	7.1200	7.1000	7.1000	7.1000	7.1000	7.0630	6.9460	6.7450	6.3800	5.9006	5.4232	4.9654	4.5327	4.1313	3.7715	3.4557	3.1869	2.9585	2.7660	2.5993	2.4568	2.3378	2.2351	2.1506	2.0843	2.0315	1.9908
25	"United Republic of Tanzania"	834	6.7400	6.8010	6.8000	6.7900	6.7500	6.7300	6.5500	6.3600	6.0500	5.7500	5.6600	5.5790	5.4989	5.3567	5.0236	4.7010	4.3951	4.1100	3.8480	3.6109	3.3992	3.2109	3.0449	2.8974	2.7681	2.6542	2.5527	2.4628	2.3821	2.3108
26	"Zambia"	894	6.7500	6.9000	7.1500	7.4000	7.4250	7.3750	6.9500	6.6580	6.3000	6.2000	6.1000	6.2000	6.2996	6.3037	5.9842	5.6701	5.3651	5.0713	4.7915	4.5283	4.2804	4.0515	3.8403	3.6480	3.4736	3.3147	3.1726	3.0432	2.9260	2.8199
27	"Zimbabwe"	716	6.8000	7.0000	7.3000	7.4000	7.4000	7.3000	6.7400	5.6560	4.7730	4.0540	3.7390	3.4700	3.1093	2.8267	2.5983	2.4103	2.2495	2.1118	1.9967	1.9053	1.8338	1.7867	1.7582	1.7479	1.7517	1.7647	1.7867	1.8110	1.8365	1.8618
28	"Middle Africa"	911	6.0336	6.0875	6.2051	6.3080	6.4081	6.5312	6.6578	6.7124	6.6835	6.4788	6.2087	5.6748	5.1565	4.6604	4.1992	3.7860	3.4308	3.1316	2.8858	2.6826	2.5150	2.3722	2.2536	2.1549	2.0756	2.0130	1.9657	1.9301	1.9062	1.8908
29	"Angola"	24	7.0000	7.2000	7.4000	7.4000	7.2000	7.2000	7.2000	7.2000	7.1020	6.9240	6.6270	5.7850	5.1354	4.5353	3.9994	3.5429	3.1690	2.8727	2.6379	2.4474	2.2932	2.1654	2.0642	1.9856	1.9289	1.8855	1.8580	1.8414	1.8345	1.8342
30	"Cameroon"	120	5.6800	5.6800	5.9000	6.1000	6.3000	6.4000	6.4000	6.1000	5.7000	5.1000	4.9170	4.6700	4.2867	3.9344	3.6186	3.3437	3.1091	2.9078	2.7377	2.5897	2.4638	2.3526	2.2550	2.1717	2.1003	2.0428	1.9948	1.9577	1.9326	1.9144
31	"Central African Republic"	140	5.5160	5.7500	5.9000	5.9500	5.9500	5.9500	5.9500	5.9000	5.6500	5.5400	5.3000	4.8465	4.4228	4.0238	3.6531	3.3244	3.0423	2.8087	2.6161	2.4583	2.3259	2.2173	2.1256	2.0539	1.9965	1.9529	1.9215	1.8999	1.8875	1.8802
32	"Chad"	148	6.1000	6.2000	6.3000	6.4000	6.6000	6.7370	6.7510	6.6980	6.6470	6.6190	6.5420	6.2000	5.7369	5.2480	4.7715	4.3256	3.9122	3.5485	3.2363	2.9766	2.7610	2.5835	2.4312	2.3056	2.2017	2.1151	2.0476	1.9969	1.9585	1.9307
33	"Congo"	178	5.6840	5.7860	5.9890	6.1920	6.2930	6.2930	5.9940	5.5470	5.2070	5.0132	4.8500	4.6400	4.4418	4.1908	3.8883	3.6147	3.3727	3.1598	2.9761	2.8169	2.6791	2.5595	2.4555	2.3636	2.2827	2.2119	2.1505	2.0971	2.0520	2.0145
34	"Dem. Republic of the Congo"	180	5.9800	5.9800	6.0400	6.1500	6.2890	6.4620	6.7200	6.9750	7.1360	7.0360	6.7030	6.0740	5.4852	4.9290	4.4154	3.9531	3.5576	3.2245	2.9538	2.7327	2.5517	2.3963	2.2686	2.1613	2.0756	2.0093	1.9597	1.9219	1.8971	1.8817
35	"Equatorial Guinea"	226	5.5010	5.4990	5.5300	5.6580	5.6800	5.6800	5.7900	5.8900	5.8900	5.8680	5.6380	5.3600	4.9800	4.5103	4.0401	3.6260	3.2770	2.9895	2.7549	2.5649	2.4095	2.2835	2.1797	2.0962	2.0288	1.9756	1.9346	1.9041	1.8832	1.8696
36	"Gabon"	266	4.0000	4.0000	4.2500	4.5000	4.9000	5.1000	5.2000	5.1500	5.1000	4.3660	3.7800	3.3500	3.1954	3.0564	2.9298	2.8149	2.7097	2.6108	2.5233	2.4403	2.3624	2.2925	2.2297	2.1698	2.1193	2.0762	2.0410	2.0120	1.9893	1.9733
37	"Sao Tome and Principe"	678	6.2000	6.2000	6.3000	6.4000	6.5155	6.4950	6.2372	5.6587	5.1633	4.7963	4.3408	3.8535	3.4878	3.1773	2.9204	2.7145	2.5433	2.3985	2.2758	2.1706	2.0830	2.0084	1.9508	1.9074	1.8761	1.8549	1.8432	1.8395	1.8425	1.8502
38	"Northern Africa"	912	6.8329	6.9479	6.9330	6.7988	6.5494	6.1575	5.7061	5.0021	4.1621	3.5524	3.2103	2.9719	2.7523	2.5789	2.4421	2.3229	2.2147	2.1284	2.0695	2.0301	2.0008	1.9718	1.9432	1.9212	1.9069	1.9006	1.8980	1.8978	1.8980	1.8998
39	"Algeria"	12	7.2780	7.2780	7.3800	7.3800	7.3800	7.1750	6.4900	5.2900	4.1310	2.8850	2.5263	2.3828	2.1416	1.9616	1.8233	1.7202	1.6548	1.6258	1.6314	1.6598	1.6995	1.7418	1.7808	1.8172	1.8497	1.8793	1.9056	1.9279	1.9484	1.9660
40	"Egypt"	818	6.3700	6.6500	6.5500	6.2000	5.7000	5.5000	5.2000	4.8000	3.9000	3.5000	3.1500	2.8500	2.6358	2.4602	2.3174	2.1977	2.0952	2.0074	1.9359	1.8795	1.8390	1.8101	1.7949	1.7886	1.7904	1.7976	1.8105	1.8270	1.8452	1.8645
41	"Libyan Arab Jamahiriya"	434	6.8680	6.9700	7.1750	7.4830	7.5850	7.3800	7.1750	5.6500	4.1000	3.2500	3.0000	2.7242	2.4095	2.1693	1.9810	1.8290	1.7157	1.6400	1.6049	1.6066	1.6361	1.6767	1.7216	1.7641	1.8030	1.8382	1.8690	1.8968	1.9212	1.9422
42	"Morocco"	504	7.1800	7.1800	7.1500	7.0900	6.8900	5.9000	5.4000	4.4470	3.6600	2.9680	2.5220	2.3760	2.1828	2.0285	1.9035	1.8057	1.7313	1.6815	1.6556	1.6507	1.6638	1.6888	1.7215	1.7554	1.7884	1.8214	1.8516	1.8792	1.9041	1.9257
43	"Sudan"	736	6.6500	6.6500	6.6000	6.6000	6.6000	6.5187	6.3379	6.0828	5.8092	5.5100	5.1346	4.6024	4.2247	3.8770	3.5631	3.2868	3.0523	2.8534	2.6834	2.5394	2.4172	2.3097	2.2143	2.1374	2.0706	2.0167	1.9731	1.9428	1.9204	1.9038
44	"Tunisia"	788	6.9300	7.0400	7.2500	6.8900	6.2100	5.6900	4.9200	4.1400	3.1250	2.3170	2.0380	2.0425	1.9091	1.7981	1.7178	1.6719	1.6534	1.6614	1.6872	1.7213	1.7596	1.7947	1.8283	1.8582	1.8868	1.9114	1.9335	1.9524	1.9705	1.9852
45	"Western Sahara"	732	6.6000	6.6000	6.6000	6.6000	6.6000	6.1000	5.6000	4.9000	4.1560	3.5300	3.0070	2.6980	2.4541	2.2651	2.1158	1.9955	1.8980	1.8211	1.7653	1.7291	1.7106	1.7086	1.7192	1.7380	1.7618	1.7878	1.8162	1.8425	1.8684	1.8916
46	"Southern Africa"	913	6.2245	6.2400	6.1982	5.7711	5.5722	5.1432	4.7139	4.1617	3.5058	3.0967	2.9041	2.6401	2.4583	2.3068	2.1810	2.0735	1.9840	1.9115	1.8539	1.8141	1.7875	1.7743	1.7708	1.7767	1.7888	1.8057	1.8253	1.8456	1.8666	1.8868
47	"Botswana"	72	6.5000	6.5750	6.6500	6.7000	6.5460	6.3660	5.9650	5.1090	4.3210	3.7000	3.1800	2.8960	2.6166	2.4032	2.2339	2.0951	1.9807	1.8899	1.8174	1.7675	1.7363	1.7225	1.7245	1.7366	1.7565	1.7812	1.8079	1.8341	1.8597	1.8834
48	"Lesotho"	426	5.8400	5.8610	5.8110	5.8000	5.8000	5.6860	5.4590	5.1350	4.7010	4.3730	3.7930	3.3730	3.0511	2.7872	2.5772	2.4095	2.2725	2.1596	2.0680	1.9908	1.9312	1.8845	1.8527	1.8326	1.8217	1.8192	1.8240	1.8333	1.8458	1.8606
49	"Namibia"	516	6.0000	6.1000	6.2000	6.3000	6.6000	6.6000	6.2000	5.5470	4.9120	4.2920	3.8080	3.4010	3.0550	2.7819	2.5663	2.3930	2.2489	2.1303	2.0299	1.9468	1.8822	1.8351	1.8045	1.7875	1.7815	1.7850	1.7956	1.8128	1.8305	1.8517
50	"South Africa"	710	6.5000	6.5000	6.3000	5.7000	5.4700	5.0000	4.5560	4.0000	3.3430	2.9540	2.8020	2.5500	2.3833	2.2438	2.1275	2.0282	1.9468	1.8807	1.8285	1.7945	1.7733	1.7652	1.7659	1.7753	1.7901	1.8090	1.8299	1.8508	1.8725	1.8928
51	"Swaziland"	748	6.7000	6.7000	6.7500	6.8490	6.8660	6.7330	6.5370	6.1320	5.2950	4.4910	4.0100	3.5740	3.1740	2.8614	2.6191	2.4271	2.2699	2.1393	2.0302	1.9390	1.8692	1.8180	1.7858	1.7687	1.7623	1.7663	1.7776	1.7953	1.8154	1.8372
52	"Western Africa"	914	6.3374	6.4189	6.5178	6.6061	6.8011	6.8906	6.8308	6.6044	6.2682	5.9502	5.7112	5.4832	5.2216	4.9544	4.6041	4.2788	3.9825	3.7161	3.4786	3.2684	3.0826	2.9186	2.7760	2.6501	2.5400	2.4431	2.3587	2.2853	2.2219	2.1673
53	"Benin"	204	5.8570	6.1341	6.4228	6.6491	6.8349	6.9952	7.0087	6.8818	6.5629	6.1566	5.7901	5.4846	5.0782	4.6920	4.3304	4.0010	3.7030	3.4411	3.2087	3.0124	2.8421	2.6942	2.5648	2.4499	2.3470	2.2570	2.1785	2.1133	2.0596	2.0168
54	"Burkina Faso"	854	6.1035	6.2430	6.3500	6.5627	6.7000	7.0182	7.0553	6.9445	6.7117	6.3987	6.1372	5.9446	5.7502	5.5302	5.1523	4.7879	4.4446	4.1286	3.8425	3.5874	3.3631	3.1659	2.9949	2.8444	2.7134	2.5980	2.4960	2.4071	2.3284	2.2588
55	"Cape Verde"	132	6.5663	6.7640	6.9728	6.9654	6.8639	6.6150	6.1000	5.6344	4.9303	4.1449	3.2769	2.6043	2.2789	2.0666	1.9165	1.8040	1.7234	1.6699	1.6408	1.6332	1.6439	1.6672	1.6988	1.7342	1.7692	1.8037	1.8362	1.8650	1.8918	1.9156
56	"Cote d'Ivoire"	384	6.7739	7.1544	7.5325	7.8254	7.9261	7.8123	7.3125	6.6100	5.9198	5.3074	5.0485	4.6453	4.2243	3.8610	3.5528	3.2895	3.0653	2.8741	2.7072	2.5609	2.4299	2.3130	2.2108	2.1207	2.0456	1.9842	1.9364	1.9019	1.8787	1.8639
57	"Gambia"	270	5.2875	5.4639	5.6969	5.9633	6.2023	6.3384	6.2918	6.1417	6.0261	5.8039	5.4551	5.0979	4.6889	4.2990	3.9334	3.6032	3.3123	3.0609	2.8498	2.6710	2.5192	2.3931	2.2829	2.1905	2.1125	2.0488	1.9987	1.9604	1.9326	1.9113
58	"Ghana"	288	6.4420	6.6391	6.8436	6.9514	6.8975	6.6878	6.3494	5.8817	5.3426	4.8144	4.5465	4.3363	3.9881	3.6769	3.4078	3.1744	2.9764	2.8085	2.6610	2.5319	2.4159	2.3139	2.2241	2.1455	2.0794	2.0247	1.9806	1.9468	1.9223	1.9053
59	"Guinea"	324	6.0000	6.2425	6.5090	6.8032	6.8487	6.9117	6.9473	6.8612	6.5811	6.1876	5.7997	5.4514	5.0324	4.6342	4.2652	3.9265	3.6254	3.3636	3.1351	2.9385	2.7717	2.6256	2.5015	2.3904	2.2927	2.2053	2.1331	2.0746	2.0257	1.9877
60	"Guinea-Bissau"	624	7.4092	5.8746	5.8746	4.7815	7.3433	6.1069	6.6982	6.6834	6.5378	6.0471	5.6587	5.2665	4.8766	4.5923	4.3009	4.0276	3.7760	3.5502	3.3498	3.1731	3.0173	2.8797	2.7596	2.6523	2.5568	2.4722	2.3966	2.3303	2.2716	2.2191
61	"Liberia"	430	6.2714	6.3502	6.4695	6.5923	6.7989	6.9317	6.9555	6.7229	6.3037	6.0095	5.6926	5.4235	5.0382	4.6737	4.3320	4.0170	3.7317	3.4774	3.2534	3.0630	2.8952	2.7475	2.6187	2.5023	2.4010	2.3076	2.2275	2.1577	2.1005	2.0528
62	"Mali"	466	6.4828	6.6460	6.7528	6.8714	6.9253	7.0076	7.0734	7.0904	7.0120	6.8826	6.7135	6.4577	6.1166	5.7757	5.3131	4.8671	4.4550	4.0849	3.7603	3.4786	3.2355	3.0257	2.8462	2.6915	2.5584	2.4449	2.3466	2.2634	2.1929	2.1334
63	"Mauritania"	478	6.3378	6.7053	6.7863	6.7896	6.7498	6.5726	6.2758	6.0644	5.7841	5.3990	5.0449	4.7071	4.3608	4.0394	3.7448	3.4828	3.2520	3.0536	2.8799	2.7323	2.6004	2.4844	2.3807	2.2909	2.2126	2.1451	2.0869	2.0396	1.9999	1.9711
64	"Niger"	562	6.8604	6.9630	7.1290	7.3171	7.5168	7.6297	7.7597	7.8098	7.7798	7.6038	7.3968	7.1944	6.9248	6.6859	6.2324	5.7774	5.3393	4.9288	4.5545	4.2177	3.9175	3.6527	3.4194	3.2150	3.0361	2.8800	2.7424	2.6217	2.5172	2.4252
65	"Nigeria"	566	6.3544	6.3544	6.3544	6.3544	6.6094	6.7629	6.7559	6.5582	6.2322	5.9855	5.7919	5.6118	5.4313	5.2161	4.8587	4.5172	4.1972	3.9034	3.6400	3.4066	3.2014	3.0214	2.8664	2.7299	2.6105	2.5050	2.4132	2.3321	2.2615	2.2000
66	"Senegal"	686	6.0475	6.4203	6.8514	7.2455	7.4502	7.4971	7.2838	6.8998	6.3610	5.7742	5.3568	5.0255	4.6051	4.2228	3.8797	3.5796	3.3196	3.0996	2.9084	2.7448	2.6036	2.4768	2.3656	2.2659	2.1788	2.1054	2.0442	1.9955	1.9577	1.9308
67	"Sierra Leone"	694	6.0296	6.0296	6.0296	5.9801	5.7528	5.6311	5.5164	5.5936	5.8087	5.8354	5.5581	5.2154	4.7281	4.2517	3.8089	3.4156	3.0803	2.8114	2.5936	2.4206	2.2769	2.1640	2.0738	2.0039	1.9530	1.9138	1.8876	1.8733	1.8651	1.8632
68	"Togo"	768	6.3344	6.4217	6.6518	6.9370	7.1986	7.2768	7.0567	6.5835	5.9926	5.3844	4.8329	4.3038	3.8639	3.4831	3.1709	2.9142	2.7046	2.5312	2.3855	2.2594	2.1532	2.0627	1.9881	1.9299	1.8865	1.8566	1.8371	1.8277	1.8246	1.8283
69	"Asia"	935	5.8198	5.5800	5.5848	5.6113	5.0006	4.0496	3.6914	3.4349	2.9714	2.6528	2.4109	2.2808	2.1761	2.0881	2.0287	1.9865	1.9509	1.9212	1.8979	1.8812	1.8699	1.8630	1.8612	1.8644	1.8713	1.8810	1.8916	1.9033	1.9159	1.9293
70	"Eastern Asia"	906	5.5891	5.0171	5.0475	5.2771	4.3563	2.7904	2.5268	2.5119	1.9733	1.7623	1.6512	1.6135	1.5582	1.5152	1.5323	1.5872	1.6440	1.6936	1.7379	1.7790	1.8177	1.8524	1.8821	1.9084	1.9310	1.9526	1.9710	1.9866	2.0000	2.0126
71	"China"	156	6.1070	5.4760	5.6070	5.9370	4.7650	2.9260	2.6140	2.6290	2.0120	1.8000	1.7000	1.6400	1.5585	1.5113	1.5292	1.5807	1.6343	1.6844	1.7311	1.7728	1.8104	1.8447	1.8753	1.9031	1.9262	1.9477	1.9663	1.9827	1.9971	2.0102
72	"China, Hong Kong SAR"	344	4.4400	4.7200	5.3100	3.6450	3.2900	2.3100	1.7150	1.3550	1.2400	0.8700	0.8050	0.9850	1.1367	1.2675	1.3808	1.4781	1.5633	1.6362	1.6993	1.7543	1.8011	1.8416	1.8767	1.9073	1.9341	1.9558	1.9758	1.9926	2.0076	2.0210
73	"China, Macao SAR"	446	4.3858	5.1088	4.4077	2.7367	1.7930	1.4079	1.9769	1.9411	1.4050	1.1160	0.8252	1.0150	1.1629	1.2901	1.4002	1.4960	1.5780	1.6487	1.7102	1.7638	1.8096	1.8494	1.8833	1.9132	1.9383	1.9606	1.9787	1.9950	2.0101	2.0214
74	"Dem. People's Rep. of Korea"	408	2.7000	3.8000	3.4100	4.0900	3.7200	2.5800	2.9300	2.4500	2.4000	2.2000	2.0500	2.0500	1.9877	1.9376	1.9031	1.8825	1.8712	1.8661	1.8684	1.8752	1.8848	1.8961	1.9081	1.9218	1.9356	1.9479	1.9595	1.9724	1.9834	1.9932
75	"Japan"	392	2.9990	2.1550	1.9860	2.0200	2.1340	1.8310	1.7520	1.6640	1.4760	1.3690	1.2980	1.3200	1.4184	1.5050	1.5816	1.6487	1.7070	1.7586	1.8022	1.8408	1.8741	1.9032	1.9292	1.9514	1.9701	1.9878	2.0020	2.0153	2.0258	2.0352
76	"Mongolia"	496	5.6000	6.3000	7.5000	7.5000	7.5000	6.6500	5.7500	4.9000	3.3000	2.5000	2.1000	2.5000	2.4455	2.3986	2.3582	2.3230	2.2926	2.2666	2.2436	2.2238	2.2067	2.1923	2.1795	2.1689	2.1598	2.1517	2.1449	2.1389	2.1337	2.1293
77	"Republic of Korea"	410	5.0500	6.3320	5.6300	4.7080	4.2810	2.9190	2.2340	1.6010	1.6960	1.5140	1.2190	1.2874	1.3888	1.4798	1.5603	1.6296	1.6909	1.7434	1.7896	1.8302	1.8651	1.8960	1.9227	1.9460	1.9664	1.9846	1.9988	2.0120	2.0243	2.0340
78	"Taiwan, Province of China"	158	5.9030	6.0602	5.2875	4.4125	3.3825	2.6400	2.1975	1.8450	1.7925	1.7275	1.4300	1.1000	1.0495	1.0672	1.1912	1.3061	1.4064	1.4941	1.5706	1.6393	1.6991	1.7517	1.7966	1.8363	1.8715	1.9014	1.9274	1.9504	1.9707	1.9880
79	"South-Central Asia"	921	6.0000	6.0280	5.9940	5.8713	5.5236	5.2033	4.8336	4.4354	3.9508	3.4623	3.0245	2.7634	2.5608	2.4024	2.2693	2.1521	2.0548	1.9802	1.9232	1.8796	1.8478	1.8251	1.8130	1.8102	1.8154	1.8257	1.8381	1.8521	1.8680	1.8854
