"Index"	"country"	"country_code"	"1950-1955"	"1955-1960"	"1960-1965"	"1965-1970"	"1970-1975"	"1975-1980"	"1980-1985"	"1985-1990"	"1990-1995"	"1995-2000"	"2000-2005"	"2005-2010"	"2010-2015"	"2015-2020"	"2020-2025"	"2025-2030"	"2030-2035"	"2035-2040"	"2040-2045"	"2045-2050"
11	"Comoros"	174	6.0000	6.6010	6.9090	7.0500	7.0500	7.0500	7.0500	6.0000	5.0800	4.5000	4.2000	3.9980	3.5990	3.2290	2.9410	2.7170	2.5390	2.3940	2.2730	2.1700
12	"Djibouti"	262	7.8000	7.8000	7.8000	7.6000	7.2000	6.8000	6.6000	6.4000	5.8500	5.1120	4.5170	3.9490	3.4800	3.1250	2.8590	2.6540	2.4890	2.3540	2.2400	2.1420
13	"Eritrea"	232	6.9650	6.9650	6.8150	6.6990	6.5200	6.5000	6.5000	6.3100	6.0820	5.6590	5.1880	4.6830	4.1730	3.7050	3.3130	3.0060	2.7680	2.5800	2.4280	2.3010
14	"Ethiopia"	231	7.1696	6.9023	6.8972	6.8691	6.8088	6.7644	6.9347	7.0573	6.9988	6.4835	5.8660	5.3813	4.8000	4.2142	3.6880	3.2533	2.9040	2.6214	2.3882	2.1916
15	"Kenya"	404	7.4810	7.7850	8.0650	8.1100	7.9900	7.6400	7.2160	6.5380	5.5660	5.0720	5.0000	4.9590	4.5390	4.0360	3.5870	3.2200	2.9330	2.7110	2.5340	2.3900
16	"Madagascar"	450	7.3000	7.3000	7.3000	7.3000	7.3000	7.0000	6.1000	6.3000	6.1390	5.8010	5.2780	4.7760	4.2640	3.7850	3.3780	3.0560	2.8070	2.6110	2.4530	2.3230
17	"Malawi"	454	6.7800	6.8400	7.0000	7.2000	7.4000	7.6000	7.4790	7.1570	6.7630	6.4400	6.0320	5.5930	5.1160	4.6080	4.1010	3.6420	3.2640	2.9680	2.7380	2.5560
18	"Mauritius"	480	6.2690	5.9710	5.7180	4.2410	3.2470	3.0630	2.4500	2.1710	2.2900	2.0500	1.9020	1.7760	1.8500	1.8500	1.8500	1.8500	1.8500	1.8500	1.8500	1.8500
19	"Mayotte"	175	8.0000	8.0000	8.0000	8.0000	8.0000	7.0000	6.5000	6.0000	5.5000	5.0000	4.0000	3.1540	2.7300	2.4780	2.2680	2.0890	1.9330	1.8510	1.8500	1.8500
20	"Mozambique"	508	6.6000	6.6000	6.6000	6.6000	6.5750	6.5250	6.4440	6.3310	6.1190	5.8470	5.5190	5.1130	4.6050	4.0990	3.6400	3.2620	2.9660	2.7370	2.5550	2.4070
21	"Reunion"	638	5.6500	5.8500	5.6500	4.8200	3.9300	3.2800	2.9000	2.5400	2.4300	2.3390	2.4590	2.4390	2.3340	2.2230	2.1270	2.0420	1.9670	1.9000	1.8530	1.8500
22	"Rwanda"	646	7.8000	8.0000	8.1000	8.2000	8.2000	8.2500	8.2500	7.5500	6.1986	5.9424	5.8100	5.4300	5.0523	4.5423	4.0394	3.5894	3.2217	2.9351	2.7122	2.5352
23	"Somalia"	706	7.2500	7.2500	7.2500	7.2500	7.1000	7.0000	6.7000	6.7000	6.5000	6.5000	6.5000	6.4000	6.1651	5.7464	5.2832	4.7832	4.2714	3.7912	3.3833	3.0604
24	"Uganda"	800	6.9000	6.9500	7.0500	7.1200	7.1000	7.1000	7.1000	7.1000	7.0630	6.9450	6.7030	6.3810	5.9120	5.3820	4.8010	4.2150	3.6890	3.2540	2.9050	2.6220
25	"United Republic of Tanzania"	834	6.7400	6.8010	6.8000	6.7900	6.7500	6.7300	6.5500	6.3600	6.0500	5.7500	5.6600	5.5790	5.2956	4.7962	4.2843	3.8027	3.3926	3.0677	2.8157	2.6179
26	"Zambia"	894	6.7500	6.9000	7.1500	7.4000	7.4250	7.3750	6.9500	6.6580	6.3000	6.2000	6.1000	5.8740	5.3430	4.7580	4.1690	3.6540	3.2550	2.9570	2.7300	2.5510
27	"Zimbabwe"	716	6.8000	7.0000	7.3000	7.4000	7.4000	7.3000	6.7400	5.6560	4.7730	4.0540	3.7390	3.4710	3.1180	2.8540	2.6490	2.4860	2.3510	2.2380	2.1400	2.0540
28	"Middle Africa"	911	6.0316	6.0883	6.2081	6.3129	6.4117	6.5340	6.6602	6.7156	6.6885	6.4829	6.2172	5.6750	5.1763	4.6615	4.1474	3.6765	3.2770	2.9540	2.6942	2.4816
29	"Angola"	24	7.0000	7.2000	7.4000	7.4000	7.2000	7.2000	7.2000	7.2000	7.1020	6.9240	6.6270	5.7850	5.3260	4.8280	4.3160	3.8310	3.4160	3.0860	2.8300	2.6290
30	"Cameroon"	120	5.6800	5.6800	5.9000	6.1000	6.3000	6.4000	6.4000	6.1000	5.7000	5.1000	4.9170	4.6670	4.2040	3.7310	3.3350	3.0230	2.7810	2.5900	2.4360	2.3080
31	"Central African Republic"	140	5.5160	5.7500	5.9000	5.9500	5.9500	5.9500	5.9500	5.9000	5.6500	5.5400	5.3000	4.8465	4.3341	3.8474	3.4291	3.0961	2.8378	2.6355	2.4730	2.3393
32	"Chad"	148	6.1000	6.2000	6.3000	6.4000	6.6000	6.7370	6.7510	6.6980	6.6470	6.6190	6.5420	6.1950	5.7790	5.3200	4.8220	4.3090	3.8250	3.4110	3.0820	2.8270
33	"Congo"	178	5.6840	5.7860	5.9890	6.1920	6.2930	6.2930	5.9940	5.5470	5.2070	4.8672	4.7830	4.4100	3.9160	3.4860	3.1400	2.8720	2.6630	2.4950	2.3580	2.2420
34	"Dem. Republic of the Congo"	180	5.9800	5.9800	6.0400	6.1500	6.2890	6.4620	6.7200	6.9750	7.1360	7.0360	6.7030	6.0740	5.5150	4.9440	4.3530	3.8080	3.3500	2.9820	2.6850	2.4410
35	"Equatorial Guinea"	226	5.5010	5.4990	5.5300	5.6580	5.6800	5.6800	5.7900	5.8900	5.8900	5.8680	5.6380	5.3580	5.0780	4.6820	4.1720	3.7040	3.3130	3.0060	2.7670	2.5790
36	"Gabon"	266	4.0000	4.0000	4.2500	4.5000	4.9000	5.1000	5.2000	5.1500	5.1000	4.3660	3.7800	3.3500	3.0280	2.7850	2.5950	2.4420	2.3140	2.2060	2.1120	2.0290
37	"Sao Tome and Principe"	678	6.2000	6.2000	6.3000	6.4000	6.5150	6.4950	6.2370	5.6590	5.1630	4.7960	4.3410	3.8530	3.4340	3.1000	2.8410	2.6380	2.4750	2.3410	2.2280	2.1310
38	"Northern Africa"	912	6.8399	6.9573	6.9331	6.7914	6.5435	6.2207	5.8398	5.1681	4.1794	3.5553	3.1636	2.9090	2.6991	2.5274	2.3946	2.2780	2.1707	2.0807	2.0181	1.9698
39	"Algeria"	12	7.2780	7.2780	7.3800	7.3800	7.3800	7.1750	6.4900	5.2900	4.1310	2.8850	2.5263	2.3828	2.2644	2.1628	2.0741	1.9956	1.9253	1.8649	1.8500	1.8500
40	"Egypt"	818	6.3700	6.6500	6.5500	6.2000	5.7000	5.6600	5.5200	5.2000	3.9080	3.5000	3.1602	2.8863	2.6750	2.5069	2.3688	2.2525	2.1525	2.0650	1.9875	1.9180
41	"Libyan Arab Jamahiriya"	434	6.8680	6.9700	7.1750	7.4830	7.5850	7.3800	7.1750	5.6500	4.1000	3.4110	3.0300	2.7240	2.4740	2.2640	2.0850	1.9300	1.8510	1.8500	1.8500	1.8500
42	"Morocco"	504	7.1800	7.1800	7.1500	7.0900	6.8900	5.9000	5.4000	4.4470	3.6600	2.9680	2.5220	2.3760	2.2590	2.1580	2.0700	1.9920	1.9220	1.8630	1.8500	1.8500
43	"Sudan"	736	6.6500	6.6500	6.6000	6.6000	6.6000	6.5190	6.3380	6.0830	5.8090	5.4140	4.8200	4.2280	3.7020	3.2910	2.9840	2.7510	2.5680	2.4200	2.2960	2.1900
44	"Tunisia"	788	6.9300	7.0400	7.2500	6.8900	6.2100	5.6900	4.9200	4.1400	3.1250	2.3170	1.9680	1.8600	1.8230	1.7980	1.8430	1.8500	1.8500	1.8500	1.8500	1.8500
45	"Western Sahara"	732	6.6000	6.6000	6.6000	6.6000	6.6000	6.1000	5.6000	4.9000	4.1560	3.5300	3.0070	2.6980	2.5260	2.3840	2.2660	2.1640	2.0750	1.9960	1.9260	1.8650
46	"Southern Africa"	913	6.2245	6.2400	6.1982	5.7711	5.5721	5.1429	4.7134	4.1611	3.5039	3.0937	2.9016	2.6375	2.4907	2.3577	2.2445	2.1463	2.0579	1.9813	1.9133	1.8769
47	"Botswana"	72	6.5000	6.5750	6.6500	6.7000	6.5460	6.3660	5.9650	5.1090	4.3210	3.7000	3.1800	2.8960	2.6830	2.5130	2.3740	2.2570	2.1560	2.0680	1.9910	1.9210
48	"Lesotho"	426	5.8400	5.8610	5.8110	5.8000	5.8000	5.6860	5.4590	5.1350	4.7010	4.3730	3.7930	3.3730	3.0520	2.8040	2.6080	2.4510	2.3210	2.2110	2.1160	2.0330
49	"Namibia"	516	6.0000	6.1000	6.2000	6.3000	6.6000	6.6000	6.2000	5.5470	4.9120	4.2920	3.8080	3.4010	3.0660	2.8140	2.6180	2.4610	2.3300	2.2190	2.1240	2.0400
50	"South Africa"	710	6.5000	6.5000	6.3000	5.7000	5.4700	5.0000	4.5560	4.0000	3.3430	2.9540	2.8020	2.5500	2.4190	2.2950	2.1890	2.0980	2.0160	1.9440	1.8790	1.8500
51	"Swaziland"	748	6.7000	6.7000	6.7500	6.8490	6.8660	6.7330	6.5370	6.1320	5.2950	4.4910	4.0100	3.5740	3.1950	2.9120	2.6950	2.5230	2.3820	2.2640	2.1630	2.0740
52	"Western Africa"	914	6.4206	6.5355	6.6248	6.7086	6.8441	6.9508	6.9014	6.6792	6.3354	5.9361	5.5866	5.2691	4.8168	4.3066	3.8497	3.4741	3.1783	2.9409	2.7441	2.5771
53	"Benin"	204	5.6597	5.9563	6.2669	6.5192	6.7342	6.9261	7.0087	6.8818	6.5629	6.1566	5.7901	5.4846	5.0897	4.5809	4.0758	3.6204	3.2463	2.9542	2.7272	2.5472
54	"Burkina Faso"	854	6.1035	6.2430	6.3500	6.5627	6.7000	7.0182	7.0553	6.9445	6.7117	6.3987	6.1372	5.9446	5.5458	5.0644	4.5548	4.0512	3.5994	3.2296	2.9413	2.7170
55	"Cape Verde"	132	6.5980	6.9020	7.0040	7.0040	7.0040	6.7500	6.1000	5.6654	4.8959	4.0937	3.3855	2.7638	2.5233	2.3810	2.2620	2.1604	2.0721	1.9943	1.9249	1.8652
56	"Cote d'Ivoire"	384	6.7739	7.1544	7.5325	7.8254	7.9261	7.8123	7.3125	6.6100	5.9198	5.3074	5.0485	4.6453	4.1867	3.7164	3.3229	3.0135	2.7735	2.5843	2.4313	2.3044
57	"Gambia"	270	5.4040	5.5398	5.7436	5.9996	6.2475	6.4066	6.3385	6.1526	6.0375	5.8039	5.4551	5.0979	4.6393	4.1316	3.6684	3.2844	2.9837	2.7503	2.5657	2.4160
58	"Ghana"	288	6.4257	6.6391	6.8436	6.9514	6.8975	6.6878	6.3494	5.8817	5.3426	4.8685	4.5378	4.3081	3.9960	3.6490	3.3610	3.1000	2.8950	2.7310	2.5960	2.4820
59	"Guinea"	324	6.4753	6.6170	6.7118	6.7853	6.8487	6.9117	6.9473	6.8612	6.5811	6.1876	5.7997	5.4514	5.0108	4.4999	3.9996	3.5557	3.1951	2.9146	2.6961	2.5222
60	"Guinea-Bissau"	624	7.4092	5.8746	5.8746	4.7815	7.3433	6.1069	5.6848	5.8276	5.9039	5.9046	5.8326	5.7271	5.4330	5.0100	4.5480	4.0650	3.6520	3.3250	3.0720	2.8730
61	"Liberia"	430	6.1789	7.1943	7.4288	7.1871	6.4179	6.7698	6.6451	6.6001	6.3776	6.0757	5.6145	5.1447	4.6877	4.1782	3.7090	3.3169	3.0089	2.7699	2.5814	2.4289
