"Index"	"country"	"country_code"	"1950-1955"	"1955-1960"	"1960-1965"	"1965-1970"	"1970-1975"	"1975-1980"	"1980-1985"	"1985-1990"	"1990-1995"	"1995-2000"	"2000-2005"	"2005-2010"	"2010-2015"	"2015-2020"	"2020-2025"	"2025-2030"	"2030-2035"	"2035-2040"	"2040-2045"	"2045-2050"
110	"Georgia"	268	3.0000	2.9090	2.9790	2.6110	2.6010	2.3900	2.2690	2.2630	2.0500	1.7200	1.5800	1.5800	1.6050	1.6550	1.7050	1.7550	1.8050	1.8460	1.8500	1.8500
111	"Iraq"	368	7.3000	6.2020	6.5980	7.4000	7.1500	6.8000	6.3500	6.1500	5.8000	5.4000	4.6300	4.1070	3.6570	3.2570	2.9590	2.7310	2.5520	2.4070	2.2850	2.1800
112	"Israel"	376	4.1610	3.8930	3.8520	3.7900	3.7700	3.4090	3.1250	3.0510	2.9330	2.9420	2.9040	2.8050	2.6160	2.4570	2.3260	2.2160	2.1200	2.0370	1.9630	1.8970
113	"Jordan"	400	7.3800	7.3800	7.9950	7.9950	7.7900	7.3800	6.7650	5.8700	5.1400	4.3150	3.5290	3.1300	2.8050	2.5400	2.3200	2.1330	1.9720	1.8590	1.8500	1.8500
114	"Kuwait"	414	7.2070	7.2070	7.3080	7.4100	6.9020	5.8870	4.8720	3.9380	3.2000	2.6140	2.2960	2.1840	2.0930	2.0120	1.9410	1.8770	1.8500	1.8500	1.8500	1.8500
115	"Lebanon"	422	5.7400	5.7200	5.6890	5.3360	4.7800	4.3110	3.8950	3.3130	3.0000	2.6950	2.0910	1.8620	1.8500	1.8500	1.8500	1.8500	1.8500	1.8500	1.8500	1.8500
116	"Occupied Palestinian Territory"	275	7.3800	7.3800	7.9950	7.9950	7.7300	7.3870	7.0000	6.4300	6.4600	6.0300	5.6310	5.0930	4.4970	3.9310	3.4660	3.1150	2.8510	2.6470	2.4840	2.3500
117	"Oman"	512	7.2000	7.2000	7.2000	7.2000	7.2000	7.2000	7.2000	6.8000	6.3000	5.1000	3.8000	3.0890	2.8400	2.6390	2.4780	2.3440	2.2320	2.1340	2.0490	1.9730
118	"Qatar"	634	6.9700	6.9700	6.9700	6.9700	6.7650	6.1090	5.4530	4.7000	4.1000	3.3770	2.9190	2.4300	2.2680	2.1650	2.0760	1.9980	1.9280	1.8670	1.8500	1.8500
119	"Saudi Arabia"	682	7.1750	7.1750	7.2570	7.2570	7.2980	7.2780	7.0150	6.2170	5.4460	4.6210	3.8100	3.1650	2.8290	2.5600	2.3370	2.1480	1.9840	1.8630	1.8500	1.8500
120	"Syrian Arab Republic"	760	7.3000	7.4500	7.6000	7.6000	7.5180	7.4710	7.1810	6.2380	4.8560	4.0170	3.6410	3.2850	2.9290	2.6420	2.4050	2.2060	2.0350	1.8910	1.8500	1.8500
121	"Turkey"	792	6.9300	6.5700	6.0540	5.6740	5.4610	4.7150	3.9850	3.2760	2.9040	2.5740	2.2270	2.1310	2.0447	1.9694	1.9017	1.8536	1.8500	1.8500	1.8500	1.8500
122	"United Arab Emirates"	784	6.9700	6.9700	6.8680	6.7650	6.3550	5.6580	5.2280	4.8250	3.8750	2.9660	2.4860	1.9490	1.8750	1.8500	1.8500	1.8500	1.8500	1.8500	1.8500	1.8500
123	"Yemen"	887	8.2000	8.3000	8.4000	8.5500	8.7000	8.7000	8.7000	8.4000	7.7000	6.7260	5.9000	5.3000	4.6530	4.0770	3.5720	3.1600	2.8290	2.5600	2.3370	2.1480
124	"Europe"	908	2.6485	2.6358	2.5650	2.3536	2.1908	1.9976	1.8981	1.8173	1.5675	1.4203	1.4326	1.4960	1.5308	1.5622	1.6023	1.6536	1.7042	1.7449	1.7734	1.7961
125	"Eastern Europe"	923	2.8155	2.7519	2.4479	2.1185	2.1435	2.0841	2.0897	2.1028	1.6191	1.2896	1.2634	1.3452	1.4265	1.4882	1.5381	1.5894	1.6421	1.6942	1.7448	1.7891
126	"Belarus"	112	2.6100	2.7300	2.6900	2.3800	2.2500	2.0900	2.0880	2.0450	1.6770	1.3080	1.2353	1.2793	1.2870	1.3120	1.3620	1.4120	1.4620	1.5120	1.5620	1.6120
127	"Bulgaria"	100	2.4800	2.2700	2.1800	2.1500	2.1700	2.1700	2.0100	1.9200	1.5060	1.2240	1.2520	1.4020	1.4990	1.5490	1.5990	1.6490	1.6990	1.7490	1.7990	1.8430
128	"Czech Republic"	203	2.6900	2.3500	2.2210	1.9270	2.1850	2.3100	1.9990	1.9200	1.6540	1.1720	1.1870	1.4070	1.5240	1.5740	1.6240	1.6740	1.7240	1.7740	1.8240	1.8500
129	"Hungary"	348	2.7300	2.2100	1.8200	1.9800	2.0900	2.1200	1.8100	1.8200	1.7300	1.3770	1.2970	1.3520	1.4180	1.4680	1.5180	1.5680	1.6180	1.6680	1.7180	1.7680
130	"Poland"	616	3.6200	3.2900	2.6500	2.2700	2.2500	2.2600	2.3300	2.1500	1.8900	1.4780	1.2530	1.2650	1.2920	1.3420	1.3920	1.4420	1.4920	1.5420	1.5920	1.6420
131	"Republic of Moldova"	498	3.5000	3.4400	3.1500	2.6600	2.5600	2.4400	2.5500	2.6400	2.1110	1.7000	1.5000	1.5000	1.5250	1.5750	1.6250	1.6750	1.7250	1.7750	1.8250	1.8500
132	"Romania"	642	2.8700	2.6200	2.0400	2.9600	2.6200	2.5300	2.2500	2.2800	1.5000	1.3470	1.2920	1.3200	1.3450	1.3950	1.4450	1.4950	1.5450	1.5950	1.6450	1.6950
133	"Russian Federation"	643	2.8500	2.8200	2.5500	2.0200	2.0300	1.9400	2.0400	2.1210	1.5450	1.2470	1.2980	1.3650	1.4580	1.5260	1.5760	1.6260	1.6760	1.7260	1.7760	1.8260
134	"Slovakia"	703	3.5200	3.2700	2.8900	2.5000	2.5100	2.4700	2.2800	2.1500	1.8700	1.4030	1.2200	1.2780	1.3450	1.3950	1.4450	1.4950	1.5450	1.5950	1.6450	1.6950
135	"Ukraine"	804	2.8100	2.7000	2.2000	2.0400	2.1600	2.0000	2.0210	2.0340	1.6440	1.2250	1.1530	1.3130	1.4700	1.5740	1.6240	1.6740	1.7240	1.7740	1.8240	1.8500
136	"Northern Europe"	924	2.3783	2.4921	2.7400	2.5975	2.1954	1.8509	1.8727	1.8593	1.8064	1.6793	1.6865	1.8232	1.8309	1.8303	1.8340	1.8388	1.8419	1.8441	1.8461	1.8481
137	"Channel Islands"	830	2.0560	2.2220	2.5620	2.3620	1.8580	1.5230	1.4390	1.4500	1.4610	1.4000	1.4140	1.4200	1.4200	1.4450	1.4950	1.5450	1.5950	1.6450	1.6950	1.7450
138	"Denmark"	208	2.5510	2.5490	2.5860	2.2720	1.9650	1.6830	1.4300	1.5440	1.7480	1.7560	1.7600	1.8430	1.8500	1.8500	1.8500	1.8500	1.8500	1.8500	1.8500	1.8500
139	"Estonia"	233	2.0600	1.9900	1.9400	2.0200	2.1500	2.0600	2.0900	2.1990	1.6270	1.3310	1.3910	1.6390	1.7860	1.8350	1.8500	1.8500	1.8500	1.8500	1.8500	1.8500
140	"Finland"	246	2.9970	2.7690	2.6600	2.1910	1.6230	1.6630	1.6850	1.6600	1.8190	1.7430	1.7540	1.8250	1.8500	1.8500	1.8500	1.8500	1.8500	1.8500	1.8500	1.8500
141	"Iceland"	352	3.7000	4.0230	3.9430	3.1540	2.8430	2.2870	2.2480	2.1160	2.1940	2.0560	1.9930	2.0980	2.0540	1.9780	1.9100	1.8570	1.8500	1.8500	1.8500	1.8500
142	"Ireland"	372	3.3800	3.6800	3.9790	3.8730	3.8150	3.4780	2.8770	2.2870	1.9690	1.9000	1.9550	1.9590	1.9240	1.8650	1.8500	1.8500	1.8500	1.8500	1.8500	1.8500
143	"Latvia"	428	2.0000	1.9500	1.8500	1.8100	2.0000	2.0000	2.0000	2.0900	1.6270	1.1710	1.2490	1.3950	1.4820	1.5320	1.5820	1.6320	1.6820	1.7320	1.7820	1.8310
144	"Lithuania"	440	2.7100	2.6600	2.4000	2.2700	2.3200	2.1200	2.0300	2.0900	1.8120	1.4710	1.2770	1.3430	1.4300	1.4800	1.5300	1.5800	1.6300	1.6800	1.7300	1.7800
145	"Norway"	578	2.6020	2.8370	2.8980	2.7190	2.2480	1.8100	1.6870	1.8000	1.8860	1.8530	1.8010	1.8940	1.8550	1.8500	1.8500	1.8500	1.8500	1.8500	1.8500	1.8500
146	"Sweden"	752	2.2130	2.2340	2.3240	2.1600	1.8910	1.6610	1.6460	1.9090	2.0060	1.5550	1.6700	1.8650	1.8530	1.8500	1.8500	1.8500	1.8500	1.8500	1.8500	1.8500
147	"United Kingdom"	826	2.1800	2.4900	2.8100	2.5200	2.0400	1.7200	1.8000	1.8100	1.7800	1.7000	1.6950	1.8440	1.8500	1.8500	1.8500	1.8500	1.8500	1.8500	1.8500	1.8500
148	"Southern Europe"	925	2.6191	2.5899	2.6802	2.6877	2.5539	2.2625	1.8336	1.5510	1.4062	1.3250	1.3518	1.4358	1.5005	1.5448	1.5811	1.6229	1.6752	1.7306	1.7693	1.7966
149	"Albania"	8	5.5970	5.9780	5.7630	5.1130	4.6580	4.2020	3.4030	3.0760	2.7800	2.4830	1.9900	1.8730	1.8500	1.8500	1.8500	1.8500	1.8500	1.8500	1.8500	1.8500
150	"Bosnia and Herzegovina"	70	4.8200	4.2800	3.8100	3.1700	2.6300	2.2400	1.9900	1.9000	1.5300	1.5350	1.2760	1.2140	1.2390	1.2890	1.3390	1.3890	1.4390	1.4890	1.5390	1.5890
151	"Croatia"	191	2.7600	2.4200	2.2700	2.0900	1.9600	2.0200	1.9600	1.8400	1.5200	1.5370	1.3620	1.4240	1.4910	1.5410	1.5910	1.6410	1.6910	1.7410	1.7910	1.8380
152	"Greece"	300	2.2900	2.2700	2.2000	2.3800	2.3200	2.3200	1.9600	1.5300	1.3700	1.2960	1.2810	1.3760	1.4050	1.4550	1.5050	1.5550	1.6050	1.6550	1.7050	1.7550
153	"Italy"	380	2.3550	2.2900	2.4660	2.5150	2.3510	1.9410	1.5360	1.3420	1.2810	1.2150	1.2590	1.3750	1.4100	1.4350	1.4850	1.5350	1.5850	1.6350	1.6850	1.7350
154	"Malta"	470	4.1360	3.7350	3.0980	2.1650	2.0740	2.0190	1.9630	2.0190	2.0210	1.8480	1.4470	1.2600	1.2850	1.3350	1.3850	1.4350	1.4850	1.5350	1.5850	1.6350
155	"Montenegro"	499	3.2200	2.7500	2.5700	2.4300	2.3600	2.3700	2.1700	1.9650	1.8080	1.8380	1.7810	1.6360	1.6650	1.7150	1.7650	1.8150	1.8490	1.8500	1.8500	1.8500
156	"Portugal"	620	3.0390	3.0300	3.0740	2.8490	2.7480	2.4100	2.0090	1.6200	1.4860	1.4550	1.4350	1.3810	1.3900	1.4400	1.4900	1.5400	1.5900	1.6400	1.6900	1.7400
157	"Serbia"	688	3.2200	2.7500	2.5700	2.4300	2.3600	2.3700	2.3200	2.2300	1.9600	1.7440	1.7230	1.6180	1.6250	1.6750	1.7250	1.7750	1.8250	1.8500	1.8500	1.8500
158	"Slovenia"	705	2.8000	2.3900	2.3200	2.3200	2.1900	2.2000	1.8750	1.6600	1.3600	1.2500	1.2260	1.3570	1.4670	1.5170	1.5670	1.6170	1.6670	1.7170	1.7670	1.8170
159	"Spain"	724	2.5700	2.7500	2.8900	2.9200	2.8600	2.5700	1.8900	1.4560	1.2700	1.1820	1.2930	1.4260	1.5580	1.6490	1.6990	1.7490	1.7990	1.8430	1.8500	1.8500
160	"TFYR Macedonia"	807	5.3200	4.5300	3.7850	3.3850	2.8100	2.5490	2.3280	2.1780	2.0560	1.8010	1.5620	1.4400	1.4650	1.5150	1.5650	1.6150	1.6650	1.7150	1.7650	1.8150
161	"Western Europe"	926	2.4103	2.4923	2.6689	2.4635	1.9757	1.6660	1.6346	1.5860	1.4962	1.5141	1.5797	1.5880	1.5869	1.6187	1.6526	1.6845	1.7144	1.7413	1.7652	1.7878
162	"Austria"	40	2.0800	2.4970	2.7830	2.5720	2.0400	1.6540	1.5940	1.4440	1.4650	1.3710	1.3900	1.3830	1.4050	1.4550	1.5050	1.5550	1.6050	1.6550	1.7050	1.7550
163	"Belgium"	56	2.3430	2.4960	2.6440	2.3920	2.0150	1.7050	1.5950	1.5590	1.6130	1.6040	1.6380	1.7710	1.8040	1.8440	1.8500	1.8500	1.8500	1.8500	1.8500	1.8500
164	"France"	250	2.7260	2.7120	2.8500	2.6070	2.3100	1.8620	1.8660	1.8050	1.7130	1.7624	1.8833	1.8916	1.8511	1.8500	1.8500	1.8500	1.8500	1.8500	1.8500	1.8500
165	"Germany"	276	2.1600	2.3000	2.4900	2.3200	1.6400	1.5200	1.4600	1.4300	1.3100	1.3400	1.3480	1.3240	1.3390	1.3890	1.4390	1.4890	1.5390	1.5890	1.6390	1.6890
166	"Luxembourg"	442	1.9800	2.2300	2.3950	2.1920	1.7220	1.4860	1.4650	1.4690	1.6630	1.7213	1.6540	1.6600	1.6940	1.7440	1.7940	1.8400	1.8500	1.8500	1.8500	1.8500
167	"Netherlands"	528	3.0620	3.0950	3.1680	2.7970	2.0590	1.5960	1.5150	1.5550	1.5830	1.6000	1.7260	1.7370	1.7700	1.8090	1.8470	1.8500	1.8500	1.8500	1.8500	1.8500
168	"Switzerland"	756	2.2800	2.3400	2.5100	2.2700	1.8200	1.5300	1.5300	1.5300	1.5400	1.4700	1.4150	1.4520	1.4850	1.5350	1.5850	1.6350	1.6850	1.7350	1.7850	1.8340
169	"Latin America and the Caribbean"	904	5.8501	5.9022	5.9451	5.5244	5.0148	4.4648	3.9266	3.4153	3.0216	2.7307	2.4974	2.2636	2.0934	1.9760	1.8953	1.8452	1.8214	1.8076	1.8161	1.8218
170	"Caribbean"	915	5.2087	5.1455	5.4389	4.9854	4.3592	3.6211	3.4031	3.1220	2.8343	2.6343	2.5060	2.3738	2.2947	2.2211	2.1523	2.0858	2.0266	1.9756	1.9351	1.9007
171	"Aruba"	533	5.6500	5.1500	4.3990	3.3010	2.6510	2.4500	2.3580	2.3000	2.1740	2.0000	1.8160	1.7380	1.7480	1.7980	1.8420	1.8500	1.8500	1.8500	1.8500	1.8500
172	"Bahamas"	44	4.0530	4.3050	4.5030	3.7940	3.4440	3.2210	3.1600	2.6200	2.6000	2.4000	2.1110	2.0220	1.9490	1.8830	1.8500	1.8500	1.8500	1.8500	1.8500	1.8500
173	"Barbados"	52	4.6700	4.6700	4.2600	3.4500	2.7400	2.1900	1.9200	1.7500	1.6000	1.5000	1.5000	1.5250	1.5750	1.6250	1.6750	1.7250	1.7750	1.8250	1.8500	1.8500
174	"Cuba"	192	4.1500	3.6995	4.6805	4.3000	3.6000	2.1500	1.8495	1.8495	1.6505	1.6095	1.6300	1.4995	1.5395	1.5705	1.5995	1.6195	1.6395	1.6595	1.6705	1.6800
175	"Dominican Republic"	214	7.6000	7.6410	7.3510	6.6500	5.6800	4.7600	4.1500	3.6500	3.3100	2.9800	2.8300	2.6700	2.4790	2.3230	2.1970	2.0960	2.0180	1.9550	1.9070	1.8700
176	"Grenada"	308	5.8000	6.7000	6.4000	4.8000	4.6000	4.3000	4.2300	4.1400	3.4600	2.8140	2.4290	2.3020	2.1950	2.1020	2.0210	1.9490	1.8840	1.8500	1.8500	1.8500
177	"Guadeloupe"	312	5.6100	5.6100	5.6100	5.2200	4.4900	3.0600	2.5500	2.4500	2.0970	2.1000	2.0590	2.1140	2.0310	1.9571	1.8906	1.8509	1.8500	1.8500	1.8500	1.8500
178	"Haiti"	332	6.3000	6.3000	6.3000	6.0000	5.6010	5.8000	6.2100	5.7000	5.1500	4.6190	4.0000	3.5450	3.1860	2.9080	2.6910	2.5170	2.3780	2.2580	2.1570	2.0690
179	"Jamaica"	388	4.2200	5.0800	5.6400	5.7800	5.0000	4.0000	3.5500	3.1000	2.8400	2.6700	2.5283	2.4000	2.2780	2.1740	2.0840	2.0050	1.9340	1.8720	1.8500	1.8500
180	"Martinique"	474	5.7100	5.7100	5.4500	5.0000	4.0800	2.6500	2.1400	2.1400	1.9620	1.9000	1.9771	1.9108	1.8574	1.8500	1.8500	1.8500	1.8500	1.8500	1.8500	1.8500
181	"Netherlands Antilles"	530	5.6500	5.1500	4.3990	3.3010	2.6510	2.4500	2.3580	2.3000	2.2800	2.1210	2.0910	1.9790	1.9100	1.8570	1.8500	1.8500	1.8500	1.8500	1.8500	1.8500
182	"Puerto Rico"	630	4.9700	4.8200	4.3700	3.4100	2.9900	2.7600	2.4600	2.2600	2.1800	2.0200	1.8382	1.8270	1.8500	1.8500	1.8500	1.8500	1.8500	1.8500	1.8500	1.8500
183	"Saint Lucia"	662	6.0000	6.9380	6.7940	6.4790	5.6910	5.2000	4.2000	3.6500	3.1500	2.6000	2.1000	2.0480	1.9030	1.8500	1.8500	1.8500	1.8500	1.8500	1.8500	1.8500
184	"St. Vincent and the Grenadines"	670	7.3300	7.3300	7.0200	6.4100	5.5400	4.4200	3.6400	3.1000	2.8500	2.5500	2.2370	2.1320	2.0470	1.9720	1.9050	1.8550	1.8500	1.8500	1.8500	1.8500
185	"Trinidad and Tobago"	780	5.3000	5.3000	4.9900	3.7900	3.4500	3.4000	3.2200	2.8000	2.1000	1.7290	1.6100	1.6350	1.6850	1.7350	1.7850	1.8340	1.8500	1.8500	1.8500	1.8500
186	"United States Virgin Islands"	850	5.5700	5.5700	5.5019	5.3656	4.9772	4.3365	3.6959	3.0854	3.0915	2.5000	2.2300	2.1460	2.0600	1.9830	1.9150	1.8590	1.8500	1.8500	1.8500	1.8500
187	"Central America"	916	6.7281	6.8121	6.7606	6.6775	6.3824	5.3577	4.5030	3.9047	3.4739	2.9645	2.6605	2.4520	2.2734	2.1161	2.0407	1.9926	1.9466	1.9033	1.8698	1.8466
188	"Belize"	84	6.6500	6.5500	6.4500	6.3500	6.2500	6.2000	5.4000	4.7000	4.3470	3.8500	3.3500	2.9350	2.6470	2.4090	2.2090	2.0380	1.8920	1.8500	1.8500	1.8500
189	"Costa Rica"	188	6.7240	7.1140	7.2250	5.8010	4.3460	3.7760	3.5270	3.3740	2.9450	2.5840	2.2820	1.9600	1.9390	1.8520	1.8500	1.8500	1.8500	1.8500	1.8500	1.8500
190	"El Salvador"	222	6.2980	6.5980	6.7590	6.4280	5.9490	5.4590	4.7990	4.1990	3.7280	3.2980	2.5990	2.3490	2.2210	2.1300	2.1120	2.0290	1.9550	1.8910	1.8510	1.8510
191	"Guatemala"	320	7.0000	6.6000	6.5000	6.3000	6.2000	6.2010	6.1000	5.7010	5.4500	5.0010	4.6000	4.1520	3.7100	3.2930	2.9230	2.6060	2.3450	2.1360	1.9740	1.8500
192	"Honduras"	340	7.4970	7.4970	7.4180	7.4210	7.0500	6.6000	5.9995	5.3700	4.9160	4.3005	3.7230	3.3080	2.9485	2.6575	2.4185	2.2175	2.0445	1.8975	1.8495	1.8495
193	"Mexico"	484	6.7000	6.8000	6.7495	6.7495	6.5000	5.2505	4.2500	3.6295	3.1905	2.6705	2.4005	2.2110	2.0400	1.8930	1.8505	1.8505	1.8505	1.8505	1.8505	1.8505
194	"Nicaragua"	558	7.2000	7.5000	7.1000	6.9500	6.7900	6.3500	5.8500	5.0000	4.5000	3.6000	3.0000	2.7550	2.5470	2.3730	2.2310	2.1150	2.0240	1.9520	1.8950	1.8500
195	"Panama"	591	5.6800	5.8900	5.9150	5.6200	4.9350	4.0545	3.5150	3.2010	2.8700	2.7900	2.7000	2.5605	2.4145	2.2910	2.1865	2.0940	2.0130	1.9415	1.8765	1.8505
196	"South America"	931	5.6595	5.7101	5.7416	5.2088	4.6360	4.2595	3.7862	3.2752	2.8771	2.6508	2.4310	2.1780	2.0029	1.8957	1.8105	1.7611	1.7497	1.7514	1.7821	1.8037
197	"Argentina"	32	3.1540	3.1265	3.0895	3.0490	3.1455	3.4400	3.1500	3.0530	2.9000	2.6300	2.3500	2.2540	2.1630	2.0775	1.9970	1.9210	1.8500	1.8500	1.8500	1.8500
198	"Bolivia"	68	6.7500	6.7500	6.6300	6.5600	6.5000	5.8000	5.2995	5.0000	4.8000	4.3240	3.9585	3.5000	3.0910	2.7465	2.4715	2.2595	2.0995	1.9795	1.9000	1.8500
199	"Brazil"	76	6.1505	6.1505	6.1505	5.3800	4.7175	4.3050	3.8000	3.1000	2.6000	2.4500	2.2505	1.9000	1.7000	1.6000	1.5205	1.5005	1.5495	1.5995	1.6995	1.7505
200	"Chile"	152	4.9500	5.4860	5.4385	4.4405	3.6300	2.8030	2.6710	2.6500	2.5500	2.2100	2.0000	1.9440	1.8945	1.8495	1.8495	1.8495	1.8495	1.8495	1.8495	1.8495
201	"Colombia"	170	6.7600	6.7600	6.7600	6.1810	5.0005	4.3400	3.6845	3.2400	3.0000	2.7525	2.5500	2.4500	2.3015	2.1945	2.1020	2.0205	1.9485	1.8840	1.8500	1.8495
202	"Ecuador"	218	6.7000	6.7000	6.7000	6.5000	6.0010	5.4010	4.7010	4.0000	3.4010	3.1000	2.8180	2.5780	2.3820	2.2250	2.1000	2.0150	1.9470	1.8930	1.8500	1.8500
203	"French Guiana"	254	5.0000	4.9200	5.0200	5.0000	4.1800	3.3000	3.5800	3.7300	4.0500	3.9265	3.6758	3.2720	2.9690	2.7400	2.5590	2.4120	2.2890	2.1840	2.0930	2.0120
204	"Guyana"	328	6.6800	6.7700	6.1500	6.1100	4.9000	3.9400	3.2600	2.7000	2.5500	2.5000	2.4250	2.3340	2.2230	2.1260	2.0420	1.9670	1.9000	1.8530	1.8500	1.8500
205	"Paraguay"	600	6.5000	6.5000	6.4500	6.1500	5.3505	5.2000	5.2000	4.7700	4.3095	3.8800	3.4800	3.0830	2.7615	2.5140	2.3290	2.1975	2.1045	2.0395	1.9940	1.9645
206	"Peru"	604	6.8530	6.8530	6.8530	6.5600	6.0000	5.3780	4.6500	4.1000	3.5700	3.1000	2.8000	2.5995	2.3825	2.2180	2.0975	2.0100	1.9470	1.9035	1.8715	1.8500
207	"Suriname"	740	6.5600	6.5600	6.5600	5.9450	5.2890	4.2030	3.7000	3.0000	2.6000	2.8000	2.5975	2.4150	2.2910	2.1850	2.0940	2.0140	1.9420	1.8780	1.8500	1.8500
208	"Uruguay"	858	2.7305	2.8310	2.9005	2.8000	3.0000	2.8870	2.5700	2.5290	2.4865	2.3005	2.2005	2.1150	2.0310	1.9580	1.8920	1.8515	1.8500	1.8500	1.8500	1.8500
209	"Venezuela (Bolivarian Republic of)"	862	6.4585	6.4585	6.6570	5.9045	4.9410	4.4685	3.9570	3.6485	3.2500	2.9415	2.7230	2.5470	2.3935	2.2610	2.1475	2.0520	1.9725	1.9050	1.8500	1.8500
210	"Northern America"	905	3.3305	3.6292	3.3538	2.5664	2.0689	1.8247	1.8119	1.8956	1.9929	1.9528	1.9889	2.0415	1.9830	1.9220	1.8679	1.8422	1.8469	1.8499	1.8500	1.8500
211	"Canada"	124	3.6450	3.8820	3.6750	2.6100	1.9760	1.7340	1.6340	1.6160	1.6940	1.5620	1.5160	1.5660	1.6150	1.6650	1.7150	1.7650	1.8150	1.8490	1.8500	1.8500
212	"United States of America"	840	3.4460	3.7060	3.3140	2.5450	2.0160	1.7880	1.8250	1.9240	2.0250	1.9940	2.0380	2.0910	2.0210	1.9480	1.8830	1.8500	1.8500	1.8500	1.8500	1.8500
213	"Oceania"	909	3.8315	4.0417	4.0305	3.5856	3.2943	2.7409	2.5548	2.4929	2.4907	2.4583	2.4180	2.4365	2.3934	2.3130	2.2470	2.1830	2.1200	2.0649	2.0193	1.9821
214	"Australia/New Zealand"	927	3.2509	3.4942	3.4846	2.9796	2.6819	2.0582	1.9225	1.8899	1.8956	1.8060	1.7862	1.8617	1.8804	1.8664	1.8554	1.8500	1.8500	1.8500	1.8500	1.8500
215	"Australia"	36	3.1800	3.4060	3.2740	2.8710	2.5350	1.9890	1.9100	1.8590	1.8600	1.7760	1.7530	1.8300	1.8520	1.8500	1.8500	1.8500	1.8500	1.8500	1.8500	1.8500
216	"New Zealand"	554	3.6880	4.0700	4.0220	3.3480	2.8430	2.1780	1.9727	2.0311	2.0670	1.9525	1.9490	2.0170	2.0180	1.9460	1.8820	1.8500	1.8500	1.8500	1.8500	1.8500
217	"Melanesia"	928	6.2867	6.3198	6.3057	6.0547	5.7875	5.5847	5.1358	4.7232	4.4934	4.3986	4.1288	3.8856	3.5846	3.2312	2.9482	2.7277	2.5523	2.4068	2.2846	2.1807
218	"Fiji"	242	6.6250	6.7920	5.9530	5.0000	4.2000	4.0010	3.8010	3.4700	3.3500	3.1940	2.9760	2.7530	2.5690	2.4210	2.2960	2.1900	2.0980	2.0170	1.9450	1.8790
219	"New Caledonia"	540	5.0000	5.0000	5.3000	5.0000	5.1500	3.9000	3.3300	3.0700	2.8900	2.6220	2.2810	2.0970	2.0060	1.9360	1.8730	1.8500	1.8500	1.8500	1.8500	1.8500
220	"Papua New Guinea"	598	6.2380	6.2590	6.2780	6.2140	6.0870	5.8710	5.4740	4.9660	4.7030	4.6370	4.3500	4.1000	3.7710	3.3670	3.0480	2.8000	2.6060	2.4490	2.3190	2.2090
221	"Solomon Islands"	90	6.4000	6.4000	6.4000	6.5390	7.2360	7.0410	6.4310	6.1250	5.5320	4.9050	4.3550	3.9200	3.4900	3.1430	2.8740	2.6640	2.4970	2.3590	2.2430	2.1440
222	"Vanuatu"	548	7.6000	7.3500	7.0000	6.4600	6.1100	5.7500	5.4000	5.0400	4.8300	4.5900	4.3000	4.0000	3.5990	3.2290	2.9410	2.7170	2.5390	2.3940	2.2730	2.1700
223	"Micronesia"	954	6.1994	6.3922	6.3392	5.9830	5.2821	4.7866	4.3665	3.9295	3.7187	3.3180	2.8255	2.5311	2.3601	2.2321	2.1099	2.0024	1.9234	1.8529	1.7913	1.7620
224	"Guam"	316	5.5270	5.8280	6.0300	4.7240	4.1200	3.5160	3.0800	3.1390	3.1000	3.0000	2.7400	2.5390	2.3940	2.2740	2.1710	2.0810	2.0020	1.9310	1.8690	1.8500
225	"Micronesia (Fed. States of)"	583	7.2000	7.0000	6.9000	6.9000	6.9000	6.4000	6.0000	5.2000	4.7932	4.5275	4.0500	3.6220	3.2010	2.8620	2.5870	2.3590	2.1670	2.0010	1.8710	1.8500
226	"Polynesia"	957	6.7407	6.9034	6.9864	6.4616	5.4694	4.8363	4.5922	4.4128	3.8502	3.5155	3.3232	3.0252	2.7321	2.5110	2.3776	2.2870	2.1917	2.0876	1.9867	1.9287
227	"French Polynesia"	258	6.0000	6.4000	6.5010	6.1990	5.1500	4.2290	3.8150	3.5690	3.0500	2.6000	2.3500	2.2060	2.1330	2.0480	1.9730	1.9060	1.8550	1.8500	1.8500	1.8500
228	"Samoa"	882	5.0000	7.3000	7.3000	6.5000	5.7000	4.8900	4.8500	4.8200	4.7000	4.4980	4.4710	3.9860	3.5450	3.1860	2.9080	2.6910	2.5180	2.3770	2.2580	2.1570
229	"Tonga"	776	7.3000	7.3000	7.3000	6.5000	5.5000	5.5000	5.5000	4.7360	4.5240	4.1780	4.1890	4.0480	3.6050	3.2340	2.9450	2.7200	2.5410	2.3960	2.2750	2.1710
