Country.or.area,ISO.code,Year,DataValue,DataProcess,Estimating.Methods
Afghanistan,4,1995,8.15,Census,Indirect
Afghanistan,4,1996,8.05,Census,Indirect
Afghanistan,4,1997,7.91,Census,Indirect
Afghanistan,4,1998,7.72,Census,Indirect
Afghanistan,4,1999,7.48,Census,Indirect
Afghanistan,4,2000,7.18,Census,Indirect
Afghanistan,4,2001,6.81,Census,Indirect
Afghanistan,4,2002,6.36,Census,Indirect
Afghanistan,4,2003,5.83,Census,Indirect
Afghanistan,4,2004,5.11,Census,Indirect
Afghanistan,4,1990,7.73,Census,Indirect
Afghanistan,4,1991,7.61,Census,Indirect
Afghanistan,4,1992,7.51,Census,Indirect
Afghanistan,4,1993,7.44,Census,Indirect
Afghanistan,4,1994,7.4,Census,Indirect
Afghanistan,4,1995,7.33,Census,Indirect
Afghanistan,4,1996,7.25,Census,Indirect
Afghanistan,4,1997,7.18,Census,Indirect
Afghanistan,4,1998,7.12,Census,Indirect
Afghanistan,4,1999,7.07,Census,Indirect
Afghanistan,4,2000,7,Census,Indirect
Afghanistan,4,2001,6.91,Census,Indirect
Afghanistan,4,2002,6.8,Census,Indirect
Afghanistan,4,2003,6.66,Census,Indirect
Afghanistan,4,2004,6.36,Census,Indirect
Afghanistan,4,1991,11.23,Survey,Indirect
Afghanistan,4,1992,7.86,Survey,Indirect
Afghanistan,4,1993,13.22,Survey,Indirect
Afghanistan,4,1994,5.82,Survey,Indirect
Afghanistan,4,1995,14,Survey,Indirect
Afghanistan,4,1996,7.13,Survey,Indirect
Afghanistan,4,1997,11.39,Survey,Indirect
Afghanistan,4,1998,7.96,Survey,Indirect
Afghanistan,4,1999,8.88,Survey,Indirect
Afghanistan,4,2000,7.29,Survey,Indirect
Afghanistan,4,2001,7.42,Survey,Indirect
Afghanistan,4,2002,6.31,Survey,Indirect
Afghanistan,4,2003,6.73,Survey,Indirect
Afghanistan,4,2004,5.84,Survey,Indirect
Afghanistan,4,2005.8,8.47,Survey,Indirect
Afghanistan,4,2006.8,6.92,Survey,Indirect
Afghanistan,4,1992.3,9.78,Survey,Indirect
Afghanistan,4,1993.3,9.54,Survey,Indirect
Afghanistan,4,1994.3,9.36,Survey,Indirect
