"Index"	"country"	"country_code"	"1950-1955"	"1955-1960"	"1960-1965"	"1965-1970"	"1970-1975"	"1975-1980"	"1980-1985"	"1985-1990"	"1990-1995"	"1995-2000"	"2000-2005"	"2005-2010"	"2010-2015"	"2015-2020"	"2020-2025"	"2025-2030"	"2030-2035"	"2035-2040"	"2040-2045"	"2045-2050"	"2050-2055"	"2055-2060"	"2060-2065"	"2065-2070"	"2070-2075"	"2075-2080"	"2080-2085"	"2085-2090"	"2090-2095"	"2095-2100"	"last.observed"
1	"World"	900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA
2	"More developed regions"	901	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA
3	"Less developed regions"	902	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA
4	"Least developed countries"	941	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA
5	"Other less developed countries"	934	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA
6	"Less developed regions, excluding China"	948	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA
7	"Sub-Saharan Africa"	947	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA
8	"Africa"	903	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA
9	"Eastern Africa"	910	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA
10	"Burundi"	108	6.801	6.857	7.071	7.268	7.343	7.476	7.428	7.592	7.431	7.184	6.908	6.523	6.1272	5.7407	5.3675	5.0177	4.6929	4.3957	4.119	3.8742	3.6536	3.4602	3.2815	3.1219	2.9807	2.8548	2.7355	2.6275	2.5318	2.4429	2008
11	"Comoros"	174	6	6.601	6.909	7.05	7.05	7.05	7.05	6	5.3	5.3	5.3	5.08	4.7896	4.521	4.2754	4.0502	3.8449	3.6601	3.4919	3.3391	3.2048	3.0777	2.9646	2.8613	2.762	2.6738	2.5876	2.5111	2.4306	2.3602	2008
12	"Djibouti"	262	6.312	6.3874	6.547	6.707	6.845	6.644	6.257	6.181	5.85	4.812	4.217	3.8023	3.4229	3.114	2.8706	2.6792	2.5209	2.3871	2.2759	2.1839	2.1048	2.0409	1.9882	1.9492	1.9183	1.898	1.8829	1.8734	1.8658	1.8629	2008
13	"Eritrea"	232	6.965	6.965	6.815	6.699	6.62	6.62	6.62	6.51	6.432	6.109	5.738	5.204	4.782	4.3806	4.0103	3.6846	3.3965	3.1526	2.9489	2.7766	2.6337	2.5079	2.4017	2.3091	2.2295	2.1607	2.106	2.0574	2.0218	1.9903	2008
14	"Ethiopia"	231	7.1696	6.9023	6.8972	6.8691	7.1038	7.1838	7.4247	7.3673	7.0888	6.8335	6.131	5.258	4.5591	3.9667	3.4954	3.1329	2.8577	2.6328	2.4568	2.3124	2.197	2.1028	2.0274	1.9681	1.927	1.8955	1.8755	1.8636	1.8555	1.8522	2008
15	"Kenya"	404	7.481	7.785	8.065	8.11	7.99	7.64	7.216	6.538	5.566	5.072	5	4.8	4.5308	4.2493	3.9592	3.709	3.4897	3.2991	3.1294	2.9789	2.8434	2.7202	2.6093	2.5076	2.4167	2.3343	2.2604	2.1947	2.1367	2.0857	2008
16	"Madagascar"	450	7.3	7.3	7.3	7.3	7.3	7	6.1	6.3	6.139	5.801	5.278	4.83	4.5329	4.266	4.026	3.8108	3.6207	3.446	3.2854	3.1441	3.015	2.8981	2.7928	2.6888	2.597	2.5106	2.4245	2.3494	2.2784	2.2216	2008
17	"Malawi"	454	6.7836	6.8436	7.0037	7.2038	7.4019	7.6	7.58	7.3998	6.595	6.435	6.065	5.829	5.5284	5.2095	4.8768	4.5723	4.2966	4.0498	3.8296	3.633	3.4577	3.3037	3.1629	3.0364	2.9218	2.8162	2.7223	2.6356	2.5557	2.4818	2008
18	"Mauritius"	480	5.895	5.895	6.195	4.61	3.466	3.105	2.3015	2.3118	2.2465	2.0332	1.9335	1.5782	1.5124	1.4934	1.5256	1.5631	1.6001	1.6346	1.6654	1.6954	1.7212	1.7441	1.7656	1.7841	1.8008	1.8136	1.8262	1.8368	1.8464	1.8556	2008
19	"Mayotte"	175	7.91	7.91	7.91	7.91	7.91	7.91	7.3504	6.727	5.08	4.7625	4.445	4.3	4.0197	3.7175	3.3945	3.1327	2.9144	2.7267	2.5653	2.4247	2.301	2.1946	2.1065	2.0331	1.9765	1.9336	1.9028	1.8808	1.8679	1.861	2008
20	"Mozambique"	508	6.6	6.6	6.6	6.6	6.575	6.525	6.4444	6.3306	6.1194	5.8466	5.7319	5.57	5.2715	4.9603	4.6547	4.36	4.0871	3.8341	3.5993	3.3915	3.2041	3.0381	2.8931	2.7662	2.6491	2.5476	2.4533	2.3696	2.2924	2.2274	2008
21	"Reunion"	638	6.9294	6.5699	6.5632	5.6722	3.875	3.12	2.7765	2.713	2.405	2.3279	2.445	2.3969	2.2471	2.127	2.0464	1.9967	1.9641	1.9418	1.9276	1.9199	1.915	1.9129	1.9124	1.9118	1.9142	1.915	1.917	1.9191	1.922	1.9245	2008
22	"Rwanda"	646	8	8.15	8.2	8.2	8.284	8.432	8.375	7.987	6.554	6.185	5.6	5.13	4.6539	4.2262	3.832	3.5103	3.2406	3.0131	2.8121	2.6367	2.4806	2.3425	2.2226	2.119	2.0328	1.9632	1.9083	1.8693	1.8422	1.8251	2008
23	"Seychelles"	690	5	5	5.59	5.92	5.3819	4.2696	3.5077	2.9377	2.5734	2.178	2.2	2.3	2.2073	2.1248	2.0591	2.0038	1.963	1.9345	1.916	1.9049	1.8957	1.8919	1.8916	1.893	1.8947	1.8958	1.8985	1.9019	1.9049	1.9092	2008
24	"Somalia"	706	7.25	7.25	7.25	7.25	7.1	7	7.071	7.258	7.531	7.698	7.442	7.102	6.6857	6.2511	5.824	5.413	5.025	4.6668	4.3407	4.0479	3.7899	3.5537	3.3433	3.1583	2.9957	2.8572	2.7252	2.6094	2.5012	2.409	2008
25	"South Sudan"	728	6.65	6.7	6.75	6.85	6.9	6.92	6.783	6.83	6.65	6.32	5.92	5.43	5.0043	4.6134	4.2594	3.9441	3.6669	3.4237	3.2147	3.0351	2.8805	2.7434	2.6198	2.5094	2.4082	2.3249	2.2458	2.1812	2.1271	2.0835	2008
26	"Uganda"	800	6.9	6.95	7.05	7.12	7.1	7.1	7.1	7.1	7.063	6.946	6.745	6.38	5.9788	5.5721	5.1777	4.8022	4.4587	4.1469	3.8702	3.6173	3.398	3.2034	3.0328	2.8839	2.7523	2.6341	2.5252	2.429	2.3424	2.2678	2008
27	"United Republic of Tanzania"	834	6.74	6.801	6.8	6.79	6.75	6.73	6.55	6.36	6.05	5.75	5.66	5.579	5.3925	5.1535	4.8668	4.5878	4.3238	4.0768	3.8537	3.6513	3.4723	3.3128	3.1702	3.0437	2.9302	2.8273	2.7365	2.6528	2.5763	2.5079	2008
28	"Zambia"	894	6.75	6.9	7.15	7.4	7.425	7.375	6.95	6.658	6.3	6.15	6	5.9	5.7032	5.4637	5.1855	4.9199	4.6706	4.4357	4.2211	4.0235	3.8423	3.6791	3.5305	3.3968	3.2743	3.1612	3.0597	2.9652	2.879	2.7982	2008
29	"Zimbabwe"	716	6.8	7	7.3	7.4	7.4	7.3	6.74	5.656	4.773	4.2	4.01	3.9	3.6729	3.4226	3.1515	2.9253	2.7351	2.5704	2.4276	2.3042	2.1976	2.1069	2.0333	1.974	1.9296	1.8971	1.875	1.8609	1.8531	1.851	2008
30	"Middle Africa"	911	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA
31	"Angola"	24	7	7.2	7.4	7.4	7.2	7.2	7.2	7.2	7.102	6.924	6.75	6.5	5.9	5.4649	5.0402	4.6418	4.2736	3.948	3.6622	3.408	3.1917	3.0074	2.8464	2.7022	2.5795	2.4699	2.3769	2.2896	2.2171	2.1528	2013
