"Index"	"country"	"country_code"	"1950-1955"	"1955-1960"	"1960-1965"	"1965-1970"	"1970-1975"	"1975-1980"	"1980-1985"	"1985-1990"	"1990-1995"	"1995-2000"	"2000-2005"	"2005-2010"	"2010-2015"	"2015-2020"	"2020-2025"	"2025-2030"	"2030-2035"	"2035-2040"	"2040-2045"	"2045-2050"	"2050-2055"	"2055-2060"	"2060-2065"	"2065-2070"	"2070-2075"	"2075-2080"	"2080-2085"	"2085-2090"	"2090-2095"	"2095-2100"	"last.observed"
1	"World"	900	4.9542	4.8903	4.9122	4.8494	4.4467	3.8373	3.5862	3.393	3.041	2.7895	2.6166	2.5215	2.4514	2.389	2.3344	2.2902	2.2524	2.2208	2.1931	2.1686	2.1456	2.1243	2.1054	2.0895	2.0761	2.0644	2.0536	2.0439	2.0354	2.0284	"NA"
2	"More developed regions"	901	2.8136	2.7805	2.6637	2.3641	2.1598	1.9312	1.8472	1.8093	1.6578	1.555	1.5748	1.6623	1.7112	1.7539	1.8021	1.8548	1.9011	1.931	1.9505	1.9673	1.9858	2.0051	2.0219	2.0333	2.0399	2.046	2.0528	2.0606	2.0676	2.0723	"NA"
3	"Less developed regions"	902	6.0739	5.9411	5.9711	5.9369	5.3693	4.5384	4.1551	3.8451	3.3854	3.0606	2.8227	2.6746	2.5673	2.4768	2.4028	2.3463	2.2985	2.257	2.2213	2.1906	2.1625	2.1373	2.1154	2.0964	2.08	2.0654	2.0524	2.0409	2.0312	2.023	"NA"
4	"Least developed countries"	941	6.5399	6.6007	6.6811	6.7344	6.7133	6.575	6.453	6.1446	5.7409	5.3065	4.8475	4.4099	4.0983	3.8241	3.5644	3.3448	3.1613	3.0074	2.8732	2.7555	2.6512	2.5603	2.4804	2.4086	2.3444	2.2871	2.2374	2.1953	2.1589	2.1273	"NA"
5	"Other less developed countries"	934	6.0119	5.8522	5.8744	5.8311	5.1946	4.276	3.8658	3.5612	3.0868	2.7609	2.5345	2.4071	2.3065	2.2221	2.1582	2.1121	2.0757	2.0462	2.0225	2.0037	1.9884	1.9764	1.9683	1.9638	1.962	1.9617	1.9621	1.9629	1.9646	1.9672	"NA"
6	"Less developed regions, excluding China"	948	6.0578	6.1391	6.1324	5.9683	5.6492	5.2359	4.8453	4.398	3.9591	3.553	3.2436	3.028	2.8634	2.7276	2.6037	2.4992	2.4136	2.3456	2.2906	2.2447	2.2043	2.1698	2.1408	2.116	2.095	2.0764	2.06	2.0458	2.0337	2.0234	"NA"
7	"Sub-Saharan Africa"	947	6.5302	6.569	6.6395	6.6529	6.7084	6.6939	6.5833	6.3869	6.0543	5.7268	5.4419	5.0997	4.7836	4.4706	4.1308	3.8332	3.5768	3.3562	3.1643	2.9967	2.8492	2.7209	2.61	2.5127	2.4276	2.3526	2.2878	2.2321	2.1842	2.1428	"NA"
8	"Africa"	903	6.5967	6.6555	6.7091	6.6844	6.6689	6.5697	6.3847	6.0727	5.6191	5.2262	4.935	4.6355	4.3652	4.1105	3.8359	3.5916	3.3768	3.1915	3.0314	2.8913	2.7657	2.6539	2.5554	2.4682	2.3919	2.3246	2.2659	2.2149	2.1706	2.1321	"NA"
9	"Eastern Africa"	910	7.0133	7.0036	7.0678	7.077	7.0405	6.9762	6.8194	6.6577	6.2944	5.9202	5.5346	5.1095	4.7442	4.3923	4.0418	3.7604	3.5302	3.3372	3.169	3.0212	2.889	2.7751	2.675	2.5855	2.5056	2.4332	2.3688	2.3124	2.2619	2.2173	"NA"
10	"Burundi"	108	6.801	6.801	6.801	6.801	6.801	6.801	6.5	6.5	6.4528	6.081	5.405	4.66	4.0509	3.5268	3.103	2.7777	2.5316	2.3435	2.1924	2.0711	1.9746	1.9043	1.8502	1.814	1.7943	1.786	1.7887	1.7974	1.8123	1.8297	2002
11	"Comoros"	174	6	6.601	6.909	7.05	7.05	7.05	7.05	6	5.3	5.3	5.3	5.08	4.7417	4.4253	4.1325	3.8652	3.6269	3.4162	3.2287	3.0637	2.9179	2.7849	2.667	2.5621	2.4648	2.3765	2.297	2.2251	2.1622	2.109	2003
12	"Djibouti"	262	7.8	7.8	7.8	7.6	7.2	6.8	6.6	6.4	5.85	5.112	4.517	3.95	3.5886	3.2753	3.015	2.8024	2.6232	2.4731	2.3446	2.2338	2.1397	2.0601	1.9944	1.9419	1.9033	1.8759	1.8567	1.8465	1.8438	1.8451	2002
13	"Eritrea"	232	6.965	6.965	6.815	6.699	6.52	6.5	6.5	6.31	6.082	5.659	5.188	4.68	4.2426	3.8438	3.4902	3.1871	2.9364	2.7304	2.5575	2.4154	2.2933	2.1909	2.1037	2.0331	1.9774	1.9329	1.9018	1.8809	1.8686	1.8624	2002
14	"Ethiopia"	231	7.1696	6.9023	6.8972	6.8691	6.8088	6.7644	6.9347	7.0573	6.9988	6.4835	5.6	4.6	3.8477	3.2448	2.808	2.5036	2.2803	2.107	1.9719	1.87	1.7938	1.7438	1.7157	1.7061	1.7119	1.7277	1.7512	1.7789	1.8077	1.8355	2007
15	"Kenya"	404	7.481	7.785	8.065	8.11	7.99	7.64	7.216	6.538	5.566	5.072	5	4.8	4.6226	4.3433	4.0053	3.7132	3.4617	3.2447	3.0551	2.89	2.7439	2.6129	2.4939	2.3875	2.2923	2.2078	2.133	2.0692	2.0145	1.97	2003
16	"Madagascar"	450	7.3	7.3	7.3	7.3	7.3	7	6.1	6.3	6.139	5.801	5.278	4.83	4.4934	4.1852	3.9047	3.6547	3.4306	3.2354	3.0622	2.9095	2.7739	2.6526	2.5434	2.4438	2.3532	2.2715	2.1982	2.1378	2.0853	2.0419	2003
17	"Malawi"	454	6.78	6.84	7	7.2	7.4	7.5	7.3	7	6.5	6.2	6.032	6	5.9685	5.865	5.5171	5.1825	4.8653	4.5672	4.2911	4.0388	3.8092	3.6018	3.4167	3.2493	3.1007	2.9675	2.848	2.7394	2.641	2.5531	2004
18	"Mauritius"	480	5.895	5.895	6.195	4.61	3.466	3.105	2.3015	2.3118	2.2465	2.0332	1.9335	1.6646	1.5902	1.546	1.5568	1.5979	1.6446	1.6914	1.7364	1.7769	1.8125	1.8457	1.8757	1.9021	1.9258	1.9466	1.9647	1.9814	1.9964	2.0091	2007
19	"Mayotte"	175	7.91	7.91	7.91	7.91	7.91	7.91	7.3504	6.727	5.08	4.7625	4.445	4.3	4.1844	3.8375	3.4688	3.1723	2.9265	2.7193	2.5409	2.3851	2.2493	2.1306	2.0295	1.9459	1.8796	1.8302	1.7966	1.7766	1.7695	1.7727	2002
20	"Mozambique"	508	6.6	6.6	6.6	6.6	6.575	6.525	6.4444	6.3306	6.1194	5.8466	5.5189	5.1133	4.7134	4.3338	3.9804	3.6599	3.3759	3.1303	2.9207	2.7435	2.5916	2.4628	2.3479	2.2488	2.1671	2.0989	2.0408	1.9957	1.9619	1.9369	2005
21	"Reunion"	638	6.9294	6.5699	6.5632	5.6722	3.875	3.12	2.7765	2.713	2.405	2.3279	2.445	2.3969	2.2502	2.1255	2.024	1.9453	1.8899	1.8547	1.8377	1.8337	1.8396	1.8517	1.8674	1.8841	1.902	1.9199	1.9362	1.9527	1.9674	1.9815	2007
22	"Rwanda"	646	8	8.15	8.15	8.1	8.2	8.25	8.25	7.8	6.3	6	5.6	5.43	5.2825	4.9083	4.4359	4.0383	3.7051	3.4235	3.184	2.977	2.7946	2.6348	2.4919	2.3639	2.25	2.1501	2.0632	1.9901	1.9307	1.8846	2008
23	"Somalia"	706	7.25	7.25	7.25	7.25	7.1	7	6.7	6.7	6.5	6.5	6.5	6.4	6.283	6.2302	5.9462	5.6419	5.3255	5.0051	4.6904	4.3884	4.1046	3.8418	3.6033	3.3896	3.1982	3.0273	2.877	2.7432	2.6249	2.5214	1999
24	"Uganda"	800	6.9	6.95	7.05	7.12	7.1	7.1	7.1	7.1	7.063	6.946	6.745	6.38	5.9006	5.4232	4.9654	4.5327	4.1313	3.7715	3.4557	3.1869	2.9585	2.766	2.5993	2.4568	2.3378	2.2351	2.1506	2.0843	2.0315	1.9908	2006
25	"United Republic of Tanzania"	834	6.74	6.801	6.8	6.79	6.75	6.73	6.55	6.36	6.05	5.75	5.66	5.579	5.4989	5.3567	5.0236	4.701	4.3951	4.11	3.848	3.6109	3.3992	3.2109	3.0449	2.8974	2.7681	2.6542	2.5527	2.4628	2.3821	2.3108	2004
26	"Zambia"	894	6.75	6.9	7.15	7.4	7.425	7.375	6.95	6.658	6.3	6.2	6.1	6.2	6.2996	6.3037	5.9842	5.6701	5.3651	5.0713	4.7915	4.5283	4.2804	4.0515	3.8403	3.648	3.4736	3.3147	3.1726	3.0432	2.926	2.8199	2002
27	"Zimbabwe"	716	6.8	7	7.3	7.4	7.4	7.3	6.74	5.656	4.773	4.054	3.739	3.47	3.1093	2.8267	2.5983	2.4103	2.2495	2.1118	1.9967	1.9053	1.8338	1.7867	1.7582	1.7479	1.7517	1.7647	1.7867	1.811	1.8365	1.8618	2002
28	"Middle Africa"	911	6.0336	6.0875	6.2051	6.308	6.4081	6.5312	6.6578	6.7124	6.6835	6.4788	6.2087	5.6748	5.1565	4.6604	4.1992	3.786	3.4308	3.1316	2.8858	2.6826	2.515	2.3722	2.2536	2.1549	2.0756	2.013	1.9657	1.9301	1.9062	1.8908	"NA"
29	"Angola"	24	7	7.2	7.4	7.4	7.2	7.2	7.2	7.2	7.102	6.924	6.627	5.785	5.1354	4.5353	3.9994	3.5429	3.169	2.8727	2.6379	2.4474	2.2932	2.1654	2.0642	1.9856	1.9289	1.8855	1.858	1.8414	1.8345	1.8342	1996
30	"Cameroon"	120	5.68	5.68	5.9	6.1	6.3	6.4	6.4	6.1	5.7	5.1	4.917	4.67	4.2867	3.9344	3.6186	3.3437	3.1091	2.9078	2.7377	2.5897	2.4638	2.3526	2.255	2.1717	2.1003	2.0428	1.9948	1.9577	1.9326	1.9144	2004
31	"Central African Republic"	140	5.516	5.75	5.9	5.95	5.95	5.95	5.95	5.9	5.65	5.54	5.3	4.8465	4.4228	4.0238	3.6531	3.3244	3.0423	2.8087	2.6161	2.4583	2.3259	2.2173	2.1256	2.0539	1.9965	1.9529	1.9215	1.8999	1.8875	1.8802	2003
32	"Chad"	148	6.1	6.2	6.3	6.4	6.6	6.737	6.751	6.698	6.647	6.619	6.542	6.2	5.7369	5.248	4.7715	4.3256	3.9122	3.5485	3.2363	2.9766	2.761	2.5835	2.4312	2.3056	2.2017	2.1151	2.0476	1.9969	1.9585	1.9307	2005
33	"Congo"	178	5.684	5.786	5.989	6.192	6.293	6.293	5.994	5.547	5.207	5.0132	4.85	4.64	4.4418	4.1908	3.8883	3.6147	3.3727	3.1598	2.9761	2.8169	2.6791	2.5595	2.4555	2.3636	2.2827	2.2119	2.1505	2.0971	2.052	2.0145	2005
34	"Dem. Republic of the Congo"	180	5.98	5.98	6.04	6.15	6.289	6.462	6.72	6.975	7.136	7.036	6.703	6.074	5.4852	4.929	4.4154	3.9531	3.5576	3.2245	2.9538	2.7327	2.5517	2.3963	2.2686	2.1613	2.0756	2.0093	1.9597	1.9219	1.8971	1.8817	2007
35	"Equatorial Guinea"	226	5.501	5.499	5.53	5.658	5.68	5.68	5.79	5.89	5.89	5.868	5.638	5.36	4.98	4.5103	4.0401	3.626	3.277	2.9895	2.7549	2.5649	2.4095	2.2835	2.1797	2.0962	2.0288	1.9756	1.9346	1.9041	1.8832	1.8696	1994
36	"Gabon"	266	4	4	4.25	4.5	4.9	5.1	5.2	5.15	5.1	4.366	3.78	3.35	3.1954	3.0564	2.9298	2.8149	2.7097	2.6108	2.5233	2.4403	2.3624	2.2925	2.2297	2.1698	2.1193	2.0762	2.041	2.012	1.9893	1.9733	2000
37	"Sao Tome and Principe"	678	6.2	6.2	6.3	6.4	6.5155	6.495	6.2372	5.6587	5.1633	4.7963	4.3408	3.8535	3.4878	3.1773	2.9204	2.7145	2.5433	2.3985	2.2758	2.1706	2.083	2.0084	1.9508	1.9074	1.8761	1.8549	1.8432	1.8395	1.8425	1.8502	2001
38	"Northern Africa"	912	6.8329	6.9479	6.933	6.7988	6.5494	6.1575	5.7061	5.0021	4.1621	3.5524	3.2103	2.9719	2.7523	2.5789	2.4421	2.3229	2.2147	2.1284	2.0695	2.0301	2.0008	1.9718	1.9432	1.9212	1.9069	1.9006	1.898	1.8978	1.898	1.8998	"NA"
39	"Algeria"	12	7.278	7.278	7.38	7.38	7.38	7.175	6.49	5.29	4.131	2.885	2.5263	2.3828	2.1416	1.9616	1.8233	1.7202	1.6548	1.6258	1.6314	1.6598	1.6995	1.7418	1.7808	1.8172	1.8497	1.8793	1.9056	1.9279	1.9484	1.966	2007
40	"Egypt"	818	6.37	6.65	6.55	6.2	5.7	5.5	5.2	4.8	3.9	3.5	3.15	2.85	2.6358	2.4602	2.3174	2.1977	2.0952	2.0074	1.9359	1.8795	1.839	1.8101	1.7949	1.7886	1.7904	1.7976	1.8105	1.827	1.8452	1.8645	2005
